gene,log2FC,pvalue,negLog10P,significance,|log2FC|
OR2M7,0.414668454610526,0.0274011050964025,1.56223192157409,Up,0.414668454610526
HP,-0.410622187800973,0.0889376619190419,1.05091429189861,NS,0.410622187800973
C1QTNF9B,0.406687952713146,0.153412331220511,0.814139730570965,NS,0.406687952713146
SSX9,0.406048898169897,0.0961503576049088,1.01704909618317,NS,0.406048898169897
MIR199A1,0.40155557776119,0.388362527387307,0.410762681271824,NS,0.40155557776119
SLITRK6,-0.397777776274502,0.0215380090654079,1.66679444457886,Down,0.397777776274502
KIAA1210,-0.395909726058934,1.17990397433257E-05,4.9281533360112,Down,0.395909726058934
PLA2G10,-0.395853447711857,0.186190060149896,0.730043507765401,NS,0.395853447711857
FABP3,-0.394978294732933,2.0075477342425E-06,5.69733411953787,Down,0.394978294732933
MUC12,0.392845152536598,0.230128303550512,0.638029964035088,NS,0.392845152536598
CYP4Z2P,-0.392710659055401,0.16203285548246,0.790396914420496,NS,0.392710659055401
LOC162632,0.390907066123481,0.0620471872349194,1.20727790145037,NS,0.390907066123481
HPGD,-0.383687001553879,0.182396957185855,0.738982411009878,NS,0.383687001553879
SNORD59A,-0.380996475806053,0.112635895195809,0.948323184962372,NS,0.380996475806053
LOC100287879,0.380803358767734,0.164407995911945,0.784077064557584,NS,0.380803358767734
C5orf53,-0.372423846762287,0.00705129739951772,2.15173096788633,Down,0.372423846762287
DSERG1,0.371051336956904,0.313724536522928,0.503451513626788,NS,0.371051336956904
MANSC1,0.370587625530139,0.0527932663034687,1.27742146749915,NS,0.370587625530139
COX7B,-0.369906490447839,0.279798564353611,0.553154518203392,NS,0.369906490447839
SIGLECP3,0.36636344008909,0.0686318875810214,1.16347405655522,NS,0.36636344008909
IFIT3,0.364109284925106,0.132560870483237,0.877584652711645,NS,0.364109284925106
MIR302B,0.36388043662963,0.490546516800195,0.309319803713659,NS,0.36388043662963
MIR224,0.363352847109352,0.293644570717996,0.532178024546932,NS,0.363352847109352
TCTEX1D4,0.36143300136634,0.24895279603613,0.60388299171733,NS,0.36143300136634
