name,logFC,DE_class
B4GALT5,6.086496587172086e-4,NS
TSSC4,6.087138671801995e-4,NS
LOC146880,6.098275254005081e-4,NS
PHF13,-6.099711183176204e-4,NS
MRE11A,6.102308284645641e-4,NS
MIR423,6.109898732933328e-4,NS
OTX2,6.120831674396587e-4,NS
CNNM3,-6.131915329146143e-4,NS
SPDYE5,6.275352293880765e-4,NS
FLJ90757,6.291140622249891e-4,NS
SLC24A2,6.318405783805048e-4,NS
C1QB,6.382551663228764e-4,NS
DOLK,6.403807409807172e-4,NS
SOD2,6.424605934407523e-4,NS
ZNF202,-6.431265414819087e-4,NS
GRRP1,-6.4612291052768e-4,NS
MRPS30,6.467615911092128e-4,NS
NCRNA00115,6.472071407150892e-4,NS
IK,-6.474444004731517e-4,NS
TRNP1,-6.479794205938028e-4,NS
NKAIN4,6.489089544490234e-4,NS
GPR37L1,6.509502898022212e-4,NS
FLII,6.510306425457912e-4,NS
GNAT2,-6.516971056402809e-4,NS
MRPS26,6.560059162996623e-4,NS
C4orf21,6.565914143692453e-4,NS
CCDC116,-6.609095316085778e-4,NS
TPRXL,6.622037545733761e-4,NS
POU2F2,-6.623281814457371e-4,NS
TBC1D12,-6.640728853459787e-4,NS
NUP43,6.641890751253321e-4,NS
PVALB,-6.659523493455222e-4,NS
N4BP1,6.72250997522772e-4,NS
C21orf7,-6.728838866592035e-4,NS
GJA4,-6.753216400965378e-4,NS
SLC28A3,6.757582950351892e-4,NS
FLJ37453,6.759594731293728e-4,NS
SPDYE1,6.797973489964804e-4,NS
SLC19A3,-6.801573775612191e-4,NS
FLJ45248,6.854215917875273e-4,NS
E2F8,-6.864981173595464e-4,NS
PPIL5,6.879021630319393e-4,NS
NCRNA00288,6.890732298434621e-4,NS
KIF1A,-6.937273395708488e-4,NS
SMARCE1,-6.941334758101547e-4,NS
PPP2R2A,6.972383157655138e-4,NS
GPATCH4,6.984792196687017e-4,NS
MAP3K8,-7.015654106450331e-4,NS
YTHDC2,-7.028952668906019e-4,NS
CYB561D2,-7.079602380517525e-4,NS
TBC1D23,-7.08025421225722e-4,NS
CD33,-7.127132718931506e-4,NS
FADD,-7.157332690996832e-4,NS
ZNF673,7.171076601941717e-4,NS
MAFG,7.188259554569143e-4,NS
C18orf10,7.202755915360903e-4,NS
KIF21B,7.208104869509402e-4,NS
UBASH3B,-7.225843492268957e-4,NS
CRBN,7.228004848420788e-4,NS
LOC100128374,-7.229828043204822e-4,NS
WDR65,-7.231761849642027e-4,NS
TMEM117,-7.245438238798751e-4,NS
FAM92B,-7.260089666412117e-4,NS
C22orf43,-7.294333770759831e-4,NS
FOLR2,7.350093958955473e-4,NS
ZSCAN5B,-7.356053246125871e-4,NS
VCX3B,-7.380657507773947e-4,NS
FRAS1,7.397282115852999e-4,NS
COX15,-7.417805646492415e-4,NS
GLRX,7.628881845733737e-4,NS
LMBR1L,7.633863342659808e-4,NS
KLHL9,-7.710966151937004e-4,NS
YIF1B,-7.715673455082062e-4,NS
FDFT1,-7.731357018814222e-4,NS
TOX4,-7.731995038997574e-4,NS
MRPL52,-7.742385768487736e-4,NS
RPL23AP7,7.806501434384217e-4,NS
FRZB,-7.835577419876838e-4,NS
ZNF35,-7.84619750761939e-4,NS
C9orf5,7.88117829237045e-4,NS
KSR2,7.976365216104675e-4,NS
BRMS1,8.023150446834215e-4,NS
SPAG1,8.053111987709194e-4,NS
DUSP5,8.068749929992514e-4,NS
UBXN1,-8.068976181316856e-4,NS
FLJ41327,8.073208356873529e-4,NS
SDR9C7,8.097019183501697e-4,NS
ZNF212,-8.103505270162792e-4,NS
FAM155B,8.104406729245728e-4,NS
FLJ45079,8.128830222844385e-4,NS
CYP26C1,-8.131229248375949e-4,NS
SLC16A11,8.142777994524231e-4,NS
TBC1D19,8.142993902473528e-4,NS
KLRG2,-8.148480894121235e-4,NS
RRAS2,8.16861637018107e-4,NS
RBBP5,-8.176111577411493e-4,NS
WDR70,-8.263326868016563e-4,NS
GPR35,8.26367368747416e-4,NS
TDRD7,8.280154940625284e-4,NS
LZTS1,-8.286382667397341e-4,NS
KCNC3,8.310183117785641e-4,NS
PRCC,-8.398834573930536e-4,NS
C1orf210,8.425263949796147e-4,NS
NPRL3,-8.427677875286754e-4,NS
SLC3A2,-8.448646667207349e-4,NS
ZDHHC3,-8.466161413536177e-4,NS
USP8,-8.475293516854165e-4,NS
HNRNPA3P1,-8.479735756767859e-4,NS
SPRNP1,-8.500024864264155e-4,NS
DEFT1P,-8.504700885785255e-4,NS
LCN6,8.505513899244033e-4,NS
SLC25A14,-8.619543163885801e-4,NS
ALG14,-8.64248424962355e-4,NS
LOXL3,8.670621615312069e-4,NS
YLPM1,8.672529887050473e-4,NS
FAM116B,-8.685140247117751e-4,NS
LAT,8.688878335663119e-4,NS
PRDM13,0.00086985979696896365,NS
DCAKD,-8.71471134142876e-4,NS
HPS3,8.743007661964342e-4,NS
CCDC124,8.743538617301816e-4,NS
PPT1,8.744952497179437e-4,NS
GTPBP1,-8.796160970763189e-4,NS
UQCRB,-8.801578051845782e-4,NS
SPNS1,8.815860302195944e-4,NS
TTL,-8.828953345936252e-4,NS
KNCN,8.873706842975615e-4,NS
FSTL1,8.883224537701295e-4,NS
TRMT1,8.886015647611156e-4,NS
DNAJB7,9.032521896923384e-4,NS
ODZ4,9.03275964766248e-4,NS
RAB4B,-9.047658248992896e-4,NS
TEAD3,9.060423856568356e-4,NS
FFAR2,-9.062877913226242e-4,NS
AURKC,-9.072076698168896e-4,NS
ZNF143,9.122516744042297e-4,NS
SLC6A8,-9.123992539787906e-4,NS
CALCA,9.175966396040014e-4,NS
PSMB6,9.180643797779275e-4,NS
C12orf34,9.183742158427322e-4,NS
PRDM14,9.189493316326125e-4,NS
SNIP1,-9.193702807639426e-4,NS
CCDC109B,-9.230807963316323e-4,NS
ADRA1D,-9.246682492614067e-4,NS
SLITRK5,9.280229352013336e-4,NS
NIN,9.296623718524355e-4,NS
HOXB4,-9.335296463583997e-4,NS
C20orf196,-9.34230419309845e-4,NS
HMOX1,-9.356501019834873e-4,NS
KIAA1737,-9.373630014355427e-4,NS
KCTD15,-9.403396910112605e-4,NS
MEOX1,9.405356625546979e-4,NS
TBX15,-9.417316355950778e-4,NS
ACAD9,9.44289010448518e-4,NS
BRWD1,-9.457062468753996e-4,NS
C14orf182,-9.461284004392834e-4,NS
SORBS3,9.546534945332752e-4,NS
EN2,-9.559534368883682e-4,NS
PAX5,9.592861295544264e-4,NS
DBP,9.599710844074849e-4,NS
KRTAP10-10,-9.603776149447185e-4,NS
UBXN4,9.626581305202109e-4,NS
RNF148,9.637302641303247e-4,NS
PPP2R3B,-9.656768966956886e-4,NS
PHTF1,-9.671971253348843e-4,NS
SDC1,-9.728060320961518e-4,NS
CELF4,-9.733377727743076e-4,NS
DUS3L,-9.794564765182034e-4,NS
CD300LF,9.802801852514254e-4,NS
ZNF174,-9.851388221471247e-4,NS
RELL2,-9.9008219925234e-4,NS
TMEM163,9.963699041783958e-4,NS
FBXO42,0.0010011671071583628,NS
DLG3,-0.0010054204202838424,NS
FLJ46111,0.0010057399272538348,NS
TSPAN5,0.0010068270730669848,NS
