Selected,genes,log2 (ratio),-log10 (P_value)
No,KARS,0.920883,3.0475
No,KCNA6,0.800681,4.05235
No,KCND2,0.692135,1.89834
No,KCNJ6,0.677072,2.45936
No,KCTD1,-1.46485,1.35604
No,KIAA0753,0.958651,2.07183
No,KIAA1107,0.831921,2.30777
No,KIAA1109,-0.846262,1.94943
No,KLF4,1.51028,1.74484
No,KLF5,0.772787,1.87364
No,KLK11,2.73227,7.22107
No,KLK4,-2.57914,1.85195
No,KPNA2,0.922355,2.52201
No,KPRP,0.680046,3.14524
No,KRT18,1.31872,2.81303
No,KRT8,1.58544,4.99658
No,LAMB2,-0.935436,1.64052
No,LAPTM5,0.854726,2.15579
No,LEPREL4,0.70803,1.59077
No,LGALS17A,0.788756,2.6278
No,LHX4,1.00761,2.73106
No,LILRA1,0.698671,2.43964
No,LIMA1,0.759844,1.64629
No,LIPH,0.9587,1.9743
No,LIPN,1.38312,4.27814
No,LOC100129112,0.980765,2.90974
No,LOC100130264,0.736219,2.56568
No,LOC100130872,-0.746478,1.67215
No,LOC100132992,0.816944,2.05155
No,LOC100288814,0.776236,3.19831
No,LOC284837,0.889755,4.28012
No,LOC338799,1.02129,2.05839
No,LOC440944,1.45718,2.91955
No,LOC441956,1.06253,1.90003
No,LOC442381,0.757722,2.62137
No,LOC494150,1.06735,3.00463
No,LOC643406,0.74575,2.03601
No,LOC652276,0.963013,2.55054
No,LOC728024,0.969374,2.12678
No,LOC729566,0.72362,2.85295
No,LRG1,1.36882,4.40856
No,LTF,1.5889,2.41135
No,LY86,1.03397,2.08003
No,LYPLA2,-0.737237,1.55939
No,LYZ,1.73356,3.70899
No,MADD,-1.01805,2.46535
No,MAFIP,1.11443,3.61868
No,MAGOHB,0.965934,2.39966
No,MAK,1.0405,3.19076
No,MAK16,1.06247,2.48229
No,MAMLD1,0.680186,2.1301
No,MAOA,-1.52331,1.4201
No,MARS,0.734191,2.16394
No,ME3,0.97738,4.62086
No,MFHAS1,1.01069,3.46918
No,MIR124-2,0.747388,1.8313
No,MIR153-1,0.674994,3.35616
No,MIR181A1,0.722978,2.19827
No,MIR25,-0.829451,1.49839
No,MIR622,1.61512,4.056
No,MMP10,1.00986,4.37068
No,MMP3,0.85097,2.75987
No,MORC2,0.84443,2.54177
No,MPPED2,3.46712,10.6872
No,MRE11A,-0.730531,1.53898
No,MRPL21,1.18572,2.00064
No,MRPL35,-0.939463,1.43
No,MRPS34,0.874823,2.84181
No,MS4A8B,1.96754,7.07283
No,MTCH2,-1.10861,2.55886
No,MTRR,0.675383,2.56768
No,MTUS1,1.23815,4.62564
No,MTX3,0.917917,2.58837
No,MUTED,0.727994,2.28588
No,MXRA5,0.755941,2.01083
No,MYADM,1.45321,3.40871
No,MYOZ3,0.707168,2.03833
No,N4BP2L2,-0.888684,1.65116
No,NAT10,0.777497,2.68379
No,NAV3,0.907031,3.15316
No,NBPF22P,0.709027,1.86848
No,NCDN,0.9732,3.20098
No,NCRNA00152,1.82535,3.11791
No,NCRNA00169,0.682058,2.03535
No,NDUFA7,0.75817,1.92603
No,NEK3,-1.0376,1.53772
No,NFATC2,0.731942,1.60939
No,NFKB2,1.54041,5.51145
No,NFKBIA,0.822891,1.55054
No,NOP58,0.894758,3.03147
No,NPAS2,0.771569,3.29183
No,NR4A1,2.01464,3.58129
No,NRL,0.713071,2.28193
No,NSUN7,0.930277,3.73979
No,NT5DC3,1.47006,3.46316
No,NTSR1,0.87444,2.19414
No,NUCB2,1.06498,2.75926
No,NUFIP1,0.908454,1.47146
No,NXT1,0.799767,2.3762
No,OGDH,-1.36152,1.49997
No,OR10A5,0.680954,3.28597
No,OR10D3,1.44561,6.37608
No,OR10P1,0.681398,1.94694
No,OR1A1,0.723515,2.1558
No,OR1S2,0.719634,1.48642
No,OR4N5,0.817707,2.11183
No,OR51A7,1.0596,3.68775
No,OR52E4,0.66574,3.29307
No,OR5M8,0.666255,3.1004
No,OR8B2,2.75139,13.4592
No,OR8B3,2.1178,10.9966
No,OR8B8,0.716101,3.0895
No,OR8G5,1.67684,9.29492
No,ORM1,0.733789,1.73479
No,OTUB1,0.749267,3.06599
No,OXA1L,-0.874171,1.67845
No,P2RX4,0.82281,1.93204
No,PA2G4,0.999814,1.48725
No,PAPOLA,-0.732149,1.62334
No,PAPPA2,0.681029,3.59167
No,PDLIM3,1.43867,1.70076
No,PDZD9,0.723705,1.68764
No,PEBP4,1.04275,2.28643
No,PGBD5,0.715795,4.20474
No,PGPEP1,-0.714239,1.30371
No,PHF8,0.692518,1.3629
No,PI16,0.700237,1.87226
No,PI3,1.08464,6.32449
No,PIGR,1.62018,3.74358
No,PIP,2.96583,14.55
No,PKDCC,1.09367,4.63732
No,PLAC8L1,0.868994,4.03377
No,PLCB4,0.752157,2.99675
No,PNRC2,-1.64271,1.75868
No,POLR3D,1.07543,4.81268
No,POR,0.845861,3.10608
No,POU4F2,0.690287,2.81451
No,PPAPDC1B,0.773028,1.33269
No,PPAPDC3,0.733469,2.78076
No,PPIF,1.06942,6.25859
No,PPP1R10,1.03155,3.26977
No,PPP2CA,0.705973,1.6354
No,PPP2CB,0.792793,2.23051
No,PPP3CC,1.01513,2.54268
No,PPP3R1,1.18942,4.01567
No,PRKD1,-0.796194,1.37285
No,PRMT3,1.02169,4.1091
No,PRORSD1P,0.704361,1.50526
No,PRPH2,0.687016,2.05058
No,PRR23B,0.825681,3.43884
No,PRR4,2.28297,9.49003
No,PRSS23,0.838453,1.33347
No,PRSS3,0.812798,2.1004
No,PSMD13,0.726397,2.69796
No,PSMD3,0.813606,2.96194
No,PTPN22,0.783349,3.87619
No,PTPRE,0.897886,3.95357
No,PTPRN2,0.927722,2.05001
No,PUS3,-0.679239,1.62538
No,PYGL,1.10004,2.7247
No,PYROXD1,-0.760394,1.58432
No,PYY,0.771681,2.18198
No,QDPR,-1.08535,1.365
No,QKI,0.676041,2.16117
No,R3HCC1,0.726171,1.92842
No,RAB21,0.712514,1.95024
No,RAB40AL,0.927817,3.75032
No,RASL11B,0.666904,3.25708
No,RASSF1,0.763841,2.74725
No,RBM27,1.01411,2.73474
No,RBM6,-1.0137,1.31291
No,RBMY1A1,0.694455,6.09986
No,RCSD1,0.683504,4.39111
No,RFX3,0.7837,3.12538
No,RGNEF,0.884565,4.73202
No,RHOB,0.774578,1.32366
No,RHOC,0.674791,1.99992
No,RIC8B,0.836447,2.47505
No,RING1,0.770871,2.70371
No,RIOK3,-0.808118,2.22794
No,RIPK2,0.848057,1.38324
No,RMND5B,-0.74527,1.38889
No,RNASET2,0.970817,3.98983
No,RNF10,0.707226,2.91907
No,RNF130,0.793187,2.45131
No,RPAP2,-1.04849,1.41086
No,RPE65,1.01347,3.94048
No,RPL23AP64,-0.757076,1.3796
No,RPLP1,0.792686,1.39025
