name,logFC,DE_class
COPS6,-0.0014907258631322584,NS
LRDD,0.0014951430672147659,NS
PTMS,-0.0015111113613848204,NS
TERF2,-0.0015142097774849539,NS
LOC442454,-0.001516675194898287,NS
C3orf78,0.0015195387020252582,NS
GPT,0.001520667324291125,NS
CELA3B,-0.001531259287841591,NS
BRIX1,0.0015343866504895498,NS
SULT1A3,0.0015545699747780972,NS
PARVA,-0.001558053613832211,NS
CCDC60,-0.0015692478882207705,NS
FAM36A,-0.0015722135050220132,NS
STON1-GTF2A1L,0.001573305983099127,NS
WDR27,-0.001574139625410087,NS
PLLP,-0.001577070827317284,NS
SLC19A3,0.0015812754695321285,NS
PSIP1,0.0015918129764687095,NS
NFKBIL1,0.0015970382321719434,NS
UROS,0.0015982708686748115,NS
TP53I3,0.0016005455354171083,NS
RBM10,-0.0016020901485780392,NS
GNAS,0.0016043221632342508,NS
PRKAG2,0.0016262746305031328,NS
RAC3,-0.0016378807905312875,NS
SEMA3G,-0.001638975892088279,NS
TMEM110,-0.0016417989810921796,NS
PHF21A,0.0016454997406354366,NS
GPAT2,-0.0016486354209785947,NS
MYO9A,0.0016558574172647056,NS
KIF3B,-0.0016564135665633195,NS
CDHR4,-0.001662776776667485,NS
MEIG1,-0.0016645754130821255,NS
KIF12,-0.0016651460782117766,NS
SCAMP5,0.0016701156319991473,NS
ZNF595,0.0016748518484053232,NS
RAB11FIP4,0.0016777227916022763,NS
FERMT2,0.0016885810090374598,NS
KIAA0020,0.0016945599616737805,NS
ZNF879,-0.001695158589287482,NS
CRTC3,-0.0016981155105275647,NS
OTUD7A,0.0016991584042254093,NS
FAM69A,0.0017011118820142723,NS
SNTB2,-0.0017035236270852572,NS
ST14,0.0017051305090585167,NS
CUL3,-0.0017079249740836744,NS
SLC15A5,0.0017114350334815898,NS
NKX3-1,0.0017159736717471397,NS
C17orf87,-0.0017218148768782804,NS
SMTNL2,0.00172996021557692,NS
CHST3,-0.0017306568925841148,NS
MYLK3,0.0017461440927608596,NS
PLEKHA2,-0.001746768697122647,NS
UGP2,-0.0017498498553063513,NS
CATSPERB,-0.0017512351578851115,NS
TJP2,-0.0017543997546205503,NS
SMAD6,0.001759014007879145,NS
PDS5B,0.0017634098490737493,NS
EPB41L3,-0.0017706706038596032,NS
KLK10,0.0017776307788777146,NS
MGMT,0.0017795419572030902,NS
TMUB1,0.0018026768832077877,NS
TFPT,-0.0018050532833018273,NS
LASP1,-0.0018052194877142824,NS
HIST1H4A,0.0018055242084680234,NS
WDR55,0.0018215912871872852,NS
GBX1,-0.0018245689384561725,NS
C9orf119,0.0018310420820766282,NS
FLJ42102,0.0018421022146333232,NS
CCDC13,-0.0018423654320967042,NS
ARF3,0.001852360680076881,NS
NCRNA00282,0.001856478596438782,NS
ZNF507,-0.0018616313841823828,NS
KLHL34,-0.0018907508391798888,NS
PPM1M,-0.0018992565969802033,NS
MLN,0.0019023297978590925,NS
CACNA2D4,-0.0019043438973138649,NS
MRO,0.0019063234911094185,NS
AAK1,-0.0019071767501950276,NS
ZNF446,0.001910294303570037,NS
MAP4K4,0.0019119289575781906,NS
DLX4,0.0019171625237430767,NS
OTX1,0.0019260186778198296,NS
PTPN18,0.001931771852577313,NS
PLCXD3,-0.0019441330962892689,NS
CXCR6,0.0019595582806632983,NS
CALCB,-0.001961164926135295,NS
FAM101A,0.0019616141440370605,NS
RARRES3,-0.0019756863256612522,NS
PKD1P1,0.0019771541792761305,NS
ITLN2,-0.001987108340830157,NS
MTF2,-0.0019899606879902887,NS
SLC25A17,-0.001991368933422999,NS
WNT4,0.0019975321874472485,NS
PRKCD,-0.0019986061528971533,NS
GPR143,0.002001412749214726,NS
CD46,-0.0020055557353910736,NS
ANO9,-0.00200638294987332,NS
SLC39A9,-0.002007147710637369,NS
FAM169A,0.002010621822307046,NS
ZCCHC24,0.0020161611036439986,NS
SKA2,-0.0020178951474261186,NS
TMED1,-0.002027497041314996,NS
ESRRB,-0.0020338940974184982,NS
GNA15,-0.002039455395841827,NS
LILRB3,-0.0020405373020984108,NS
SGPP2,-0.002048161513451774,NS
CCDC107,-0.0020509477227086403,NS
TSR1,-0.002055466211952073,NS
CD37,0.0020561075752025815,NS
JUN,0.0020655107079199375,NS
NPHS1,-0.002067304143104076,NS
MUC19,-0.002068663672295301,NS
SETD5,-0.0020711413287575198,NS
DHX33,0.002076769041948978,NS
HIGD2B,-0.002085295280382704,NS
PAFAH2,0.0020855654472760055,NS
SQRDL,-0.0020906921843828474,NS
SLC17A6,-0.002090724183200221,NS
LOC729862,0.0020981112147666625,NS
THSD1P1,-0.0020988144977529544,NS
LGALS9B,0.002105537031782845,NS
DDB2,0.002110918939032258,NS
CST9L,0.0021231110920554297,NS
UBAP1,-0.0021239732382896115,NS
DPH1,0.0021272488240118292,NS
PSMC4,0.002128375102571578,NS
SNORD68,0.0021296464539330984,NS
MIR202,0.0021478233694431914,NS
PLCB3,0.0021620576268484015,NS
TMEM182,0.002164724420556041,NS
ATP6V0D2,-0.002164965336333202,NS
BLVRB,0.0021660554318057024,NS
LRRC52,0.0021664816944610976,NS
WIPI2,0.0021673774790800238,NS
FLJ40536,-0.0021703937676771368,NS
C4orf49,0.0021801295170384982,NS
NTN5,0.0021816322954140155,NS
C10orf111,0.0021826910265092536,NS
RAPH1,-0.002183284569992505,NS
IL24,-0.00219233276951436,NS
DDX10,-0.0021928637544406104,NS
COL10A1,0.00219425937045159,NS
ABTB1,-0.0022046441018774843,NS
SNORA15,0.002207112259335453,NS
FPR3,-0.002208162370334721,NS
VAPA,0.002209096304231828,NS
KCNQ2,0.002215691041825174,NS
MYO15A,0.0022283300185421684,NS
TLN2,0.002229387813287076,NS
TRIL,-0.002231845644691255,NS
UROD,-0.0022398024441709907,NS
CRYBB3,-0.0022403186936170716,NS
PIN1P1,0.002242963771469597,NS
ZSCAN29,0.0022459619193195834,NS
LGALS12,-0.0022480756317835304,NS
DNHD1,-0.0022499722030553393,NS
SNRPD3,0.0022510515312474944,NS
RUFY2,-0.002261649633537921,NS
SAFB2,-0.0022646546858240413,NS
SF3B14,-0.002268951789499596,NS
PTRH1,0.0022837362722067933,NS
HDAC4,-0.00228490974922968,NS
TMEM55A,-0.002287569878673068,NS
PLAA,0.00228966167605682,NS
C1orf56,0.00230254701599808,NS
MLL4,0.0023055657982269384,NS
MUTYH,0.002310056906201341,NS
CCBL1,-0.002310989700861299,NS
EXD2,-0.0023112093769075415,NS
RAD51,0.0023126125118695384,NS
MT1IP,0.0023142790224486287,NS
SEC16B,-0.0023153688852188825,NS
TMEM204,0.002324311362476905,NS
CSMD2,-0.002326598380973488,NS
C3orf18,-0.002331949595622662,NS
ATXN7L3B,0.0023377234563386473,NS
RAB5B,0.0023458446297763835,NS
CRYGS,-0.00234957549519077,NS
SMARCA4,0.002357179779415297,NS
SMYD4,-0.0023619913281256455,NS
ARHGAP17,0.002385651424289703,NS
BLK,0.002389554420600737,NS
GPR12,0.002391411683525968,NS
DDX59,0.002395602330083957,NS
LOC646513,-0.0024000945812194807,NS
HS3ST6,0.0024005019213246825,NS
FBF1,-0.0024033399921317145,NS
FUT8,0.002407873819578965,NS
DCAF12L2,-0.0024196979053503487,NS
PLCB1,0.0024281120899414255,NS
SEC22A,-0.0024281457532056017,NS
NSUN2,0.002430991445212527,NS
ZNF479,0.0024324752067224065,NS
C16orf42,0.0024365912860886407,NS
OTUD6B,0.002441342273189484,NS
ZNF648,0.002442933211084908,NS
RHOT2,0.002444738630925869,NS
H19,0.002447541722021107,NS
KIRREL2,0.0024592263273999215,NS
AGXT2L1,-0.002474476871135056,NS
OPN3,0.002486491462880158,NS
FAM3A,0.0024933681336283264,NS
PSORS1C2,-0.0024988804407959364,NS
FLNA,-0.0025095860375285994,NS
USP6,0.0025098336365176888,NS
KIAA0562,0.0025141382138129664,NS
NCRNA00207,0.0025205444039535507,NS
PRDM11,-0.002524550789581692,NS
CCDC63,0.00252565087782608,NS
MIA,-0.0025317325288707337,NS
C1R,0.002536684607743478,NS
FLJ46300,0.002537802785623988,NS
ZKSCAN4,-0.002541323988147437,NS
NRTN,-0.0025463941896131104,NS
MYPOP,0.0025560628751419845,NS
FGD1,0.0025622843730528366,NS
SNORD13,0.002566414424133079,NS
C17orf106,0.0025669288107494914,NS
PHC3,-0.002567129069900531,NS
C14orf45,-0.002573878477757141,NS
C1orf77,0.0025817316683740543,NS
GREM2,0.002588324567136757,NS
FAM32A,0.0025915030905236947,NS
TPT1,-0.0025985035428961467,NS
CEP120,-0.0025987806972707084,NS
RTP2,0.0025991139630745508,NS
C20orf20,-0.0025998975106116262,NS
ZNF510,-0.002600551121007877,NS
BTF3,0.00260648598501545,NS
SYNPO,0.002606543874639211,NS
ESD,0.002633408761973044,NS
UMODL1,-0.0026514026193191764,NS
LOC100131826,-0.0026570761008601895,NS
MRPL52,-0.002661753939447342,NS
C15orf53,-0.002673772098488403,NS
CYP24A1,0.002679809554680501,NS
LRRC50,-0.0026925476514394475,NS
MPRIP,-0.0026958174797897527,NS
DMRT1,0.0027006870127552762,NS
EFTUD2,0.002710257908688618,NS
SHD,0.002734400800358916,NS
CAPS,0.00273494473957836,NS
DEPDC4,0.0027417401512772055,NS
DNAJB1,0.0027424401010192057,NS
C16orf85,-0.002743297718582949,NS
STON1,0.0027462068944523743,NS
PTOV1,-0.002766418583197705,NS
LOC100127951,-0.00277372649334795,NS
RCC2,-0.0027806518915074463,NS
AURKA,0.0027976552425083012,NS
NARS,-0.0027992838079340387,NS
INMT,-0.002808813844899394,NS
NACC2,-0.0028109185503208955,NS
GPR63,0.0028149961828702885,NS
DEFB124,0.002816676162557208,NS
IL2RA,0.0028290613484216465,NS
HIC2,-0.0028435738381111797,NS
CST1,-0.0028501752098932798,NS
SLC16A10,0.0028589050158263074,NS
RNF175,0.0028630496479893353,NS
C2orf3,-0.0028662773386853857,NS
TRIM37,0.0028668408766985287,NS
C1orf157,-0.00286731176274424,NS
RCN2,0.002873572167040983,NS
RASA4,0.00287475642742141,NS
KIAA1549,-0.0028804466065337486,NS
SNORD116-17,0.002883713174142599,NS
HN1L,0.0028894886738193293,NS
CCNB1IP1,0.0028944485431341427,NS
SLC25A19,0.0029024239895993897,NS
CLASRP,-0.0029235582705788854,NS
COX8A,0.0029242291215085814,NS
RUNDC2A,-0.0029269115821051184,NS
KCTD6,0.0029317762606990705,NS
HCFC1,-0.0029333891952105784,NS
RNF24,0.002944409713244056,NS
AMN,0.0029538319899584664,NS
DNAJA4,-0.002961295077692938,NS
C1D,-0.002962032992805952,NS
SIX6,0.0029853710390419508,NS
RASGRF1,-0.002991803307880847,NS
CWC25,-0.0029986485590036693,NS
OR4F16,0.003002358577021358,NS
PANX3,-0.0030042210266467695,NS
KIAA1598,-0.003006711167282905,NS
SLC1A3,-0.003009915122476725,NS
FAM189B,-0.003011435592481959,NS
MGC14436,-0.003014684281311686,NS
PKD1,0.0030157635359424617,NS
SRSF2,0.003022528694518911,NS
IDI1,0.003022799075838245,NS
TUBA4B,-0.003022918541407016,NS
FOXK2,-0.0030348663587735913,NS
ZFYVE20,-0.003037344301129341,NS
FAM22A,-0.0030416822496270868,NS
TMPRSS2,-0.003041995691389854,NS
NFIC,-0.003063809245400062,NS
FBXO44,-0.0030751419776331446,NS
POLD2,-0.0030757436816255534,NS
CDC5L,0.0030825218627472672,NS
WASH3P,0.0030913568303554406,NS
GATA5,0.003097068633994393,NS
NUPR1,-0.003099979090726457,NS
FAM98C,-0.0031036540835867044,NS
PSPC1,-0.0031057168016905834,NS
CETN1,0.0031102963839318987,NS
RAB35,-0.0031256062736537693,NS
EMX1,0.003132041273915309,NS
CHRAC1,0.003140921068387481,NS
OR8G2,-0.0031425679197615297,NS
FOXF1,-0.003148978894857324,NS
GABPB1,-0.0031529239309655566,NS
PKLR,-0.003153093877493296,NS
BICC1,-0.0031576077253760992,NS
PPIL2,-0.0031647271841444002,NS
FAM71B,0.003167397790430626,NS
MIR139,0.003168681095745196,NS
ANKRD46,-0.003180262584225213,NS
GRID1,-0.0032087105218909784,NS
C13orf16,0.0032115540910322427,NS
NPTX1,0.0032122400899441406,NS
PSMC1,0.0032164391269065007,NS
TLK2,-0.003236528497580604,NS
NUDT4P1,0.0032435003363007198,NS
GOLGA8F,-0.003248601038854826,NS
TOLLIP,-0.0032507069888216833,NS
PPIAL4G,0.0032540394502924563,NS
ZNF828,0.003257033274925769,NS
MC1R,-0.003259172062756166,NS
NPAS3,0.003274824839889945,NS
CTDSPL2,0.0032752042159280847,NS
PPP2R5D,0.0032758544192468264,NS
KIR2DS5,0.003276327110022792,NS
GAS7,0.0032766610249617134,NS
LOC100499221,0.0032829308594770623,NS
DCHS1,-0.0032839283044872047,NS
EGR4,-0.003286161360267048,NS
COL27A1,-0.0032919700681866004,NS
STIM1,-0.0032979513583670794,NS
CYYR1,-0.0033040756200155563,NS
DENND1C,0.0033055381266053896,NS
ASCL2,-0.0033266864637993,NS
MRPL40,-0.0033391163435472215,NS
CCDC45,-0.0033392186627794196,NS
PLXNC1,0.003343172488084134,NS
CCNJL,0.003347909779021885,NS
ZFYVE21,-0.0033590580719520258,NS
ADH1A,0.0033595438904376884,NS
USP5,-0.00336139314538908,NS
PLXND1,-0.0033633339390333195,NS
AKIRIN1,0.003363819843583915,NS
DEFA3,-0.003365462534616448,NS
PRR25,-0.003371098758055302,NS
INHBB,-0.0033744960882318153,NS
JRK,-0.0033849203443216958,NS
LRRC32,-0.0033931810224916426,NS
CDRT1,0.0033956637605576656,NS
FBXO47,-0.0033969092590482863,NS
GPR20,-0.003398664560543274,NS
MBNL1,-0.003404466463623468,NS
PUF60,0.0034046684518123094,NS
RASL10B,-0.0034096630135413974,NS
TSPY1,-0.0034109500569777795,NS
CCR10,0.0034112390842275797,NS
RELL1,-0.003425420961807646,NS
NTN3,0.0034278401003895453,NS
MAP3K5,-0.0034298192493853463,NS
ZNF622,-0.003431305012580932,NS
C2orf18,0.0034349825246615673,NS
ZNF773,0.00343560640591134,NS
POMC,0.0034380848053197077,NS
ZBED5,-0.0034389327431751937,NS
KRT83,-0.003439402918248735,NS
BAT1,0.003439812178440249,NS
LNPEP,0.0034417000381838925,NS
TIGD6,0.003442399360269688,NS
SEPT4,-0.00344316511420395,NS
MICAL1,0.0034434081375858128,NS
ANKRD6,0.003448964080895456,NS
PSMF1,-0.0034507127458143216,NS
KLHL9,-0.0034533857696095183,NS
METTL2B,0.0034585634123189823,NS
SAP130,-0.0034588145818235105,NS
ZNF281,0.003459036479523725,NS
C2orf85,-0.003462883294011121,NS
SUPT7L,-0.0034649100469339444,NS
CUTA,0.0034681880653697483,NS
TPM1,-0.0034685766461222123,NS
PRAMEF20,0.0034695371468731473,NS
NBEAL1,0.0034796996951360626,NS
TNFRSF13C,-0.003480727696028252,NS
SASH3,-0.0034950649685372426,NS
SNORD116-15,0.0035040125177951964,NS
ARF6,-0.0035050231913180685,NS
S1PR1,-0.0035066026315215826,NS
C20orf166,-0.0035080465684900197,NS
ANXA2,0.0035103116344168406,NS
LASS6,-0.003512636974918326,NS
TK2,0.0035264467340387906,NS
XPNPEP1,-0.0035312393889903593,NS
LAYN,-0.00354205543449182,NS
EIF5,-0.0035561423004237813,NS
AHSA1,-0.0035600876192161124,NS
MGRN1,-0.0035614493519777746,NS
NUDT16,-0.003563741253525432,NS
PRSS42,0.0035673986572684058,NS
SEPT7L,0.0035683621297066814,NS
LOC149950,-0.0035737043521049117,NS
RABEP1,-0.0035858461809268327,NS
RNF25,-0.0035878144882661722,NS
TDRKH,-0.0035917026939742414,NS
CD36,-0.0035992080641329416,NS
PRSS30P,-0.0036044396000816104,NS
EPO,0.0036151682640956917,NS
ACTN3,0.0036189979285670137,NS
MED6,-0.0036234051155368263,NS
LYSMD1,0.003625920988685083,NS
