name,logFC,DE_class
GPS2,-6.88503009050212e-4,NS
SGTB,-6.888928932335947e-4,NS
ATP5J2,-6.957800529172609e-4,NS
RAD50,6.964871597663347e-4,NS
KLHL21,-6.968298060823219e-4,NS
GRM1,-7.055177781443156e-4,NS
IL1F7,-7.073160485598917e-4,NS
RN28S1,7.075488933367957e-4,NS
TUBA1B,-7.087680892987613e-4,NS
OR10V1,7.139958050037531e-4,NS
TK2,-7.166076947604516e-4,NS
TMEM55A,-7.168187581978458e-4,NS
BANF1,-7.182307627915385e-4,NS
IRX5,7.205199398776507e-4,NS
PRMT3,-7.226622617706457e-4,NS
FMR1NB,7.233437421363398e-4,NS
SPATA18,7.270513989261485e-4,NS
FXYD3,-7.279735171019652e-4,NS
RGS19,-7.292620499059765e-4,NS
RYR3,-7.301659081648815e-4,NS
KIAA1429,-7.324002132140794e-4,NS
AGXT2L2,-7.348235243869183e-4,NS
SLC35A2,7.368601804522701e-4,NS
CANX,-7.390229418260397e-4,NS
RFWD3,-7.401531793382876e-4,NS
C2orf49,-7.407867480053731e-4,NS
POU4F2,7.425382289039106e-4,NS
AK3,-7.432940114218134e-4,NS
CRIM1,7.483518874256134e-4,NS
RPSAP15,7.510467636331342e-4,NS
MUS81,-7.51718467382867e-4,NS
TAX1BP1,7.520428246658994e-4,NS
DMRT3,-7.564522150818043e-4,NS
BTN3A2,7.584248116150327e-4,NS
C8orf77,7.624385811157985e-4,NS
WDR65,7.627410496400255e-4,NS
RARG,-7.665700813639376e-4,NS
BRP44L,-7.716259495111899e-4,NS
ZNF784,7.740602630819104e-4,NS
CHD5,-7.747029914422221e-4,NS
DGKZ,-7.754440057530232e-4,NS
MARCH10,-7.788683326678258e-4,NS
C16orf72,-7.838999822178394e-4,NS
PCBP2,7.849332844411805e-4,NS
CALML4,7.894268913424263e-4,NS
AGR3,-7.929263165666889e-4,NS
DYNC1H1,7.986289169261696e-4,NS
PTK2,8.007942495211751e-4,NS
FZD4,8.07854376417616e-4,NS
NME6,8.134418562546486e-4,NS
TLCD1,8.157390730620939e-4,NS
RASA2,-8.184086983571426e-4,NS
OR10K1,-8.190008411645966e-4,NS
C2orf47,-8.210577132052865e-4,NS
PKP1,8.22185439160128e-4,NS
PRX,-8.229431333144355e-4,NS
GJC1,8.236868732489633e-4,NS
TBC1D10B,-8.256119014640184e-4,NS
SNORA38B,-8.336774736577013e-4,NS
SLC25A47,8.382193201215138e-4,NS
SPINK5,-8.389636154204627e-4,NS
LYZL4,-8.395664462635954e-4,NS
GPR125,8.402534797802286e-4,NS
RASL11A,-8.446049341161999e-4,NS
ELK3,-8.451525205832588e-4,NS
KLHL34,-8.477778580968653e-4,NS
NPTXR,-8.506441686009225e-4,NS
SSR2,8.50669050738162e-4,NS
ZNF839,-8.522085991320427e-4,NS
PPP2R5C,-8.525665688470241e-4,NS
CNTNAP2,-8.57579489083049e-4,NS
TRAM1,-8.642846586583985e-4,NS
NSFL1C,-8.665839389006003e-4,NS
ACSM2B,-8.712599611513383e-4,NS
PIK3R4,-8.747746430732839e-4,NS
RSPO1,8.773432579656237e-4,NS
GPX3,8.796746220820495e-4,NS
WDR19,-8.852023985135293e-4,NS
MEGF11,-8.901925808764144e-4,NS
GABRR1,8.902049427755854e-4,NS
NRAP,8.950954948141465e-4,NS
RPL31,9.011333513506692e-4,NS
MYO15B,-9.01480189757331e-4,NS
SF3A3,9.029680276175789e-4,NS
JAK3,9.047247222770949e-4,NS
PLAC1,-9.052423493622896e-4,NS
DRD5,-9.059551680636879e-4,NS
MRPS18B,9.081514120148348e-4,NS
IBTK,-9.103837242361301e-4,NS
COX6A2,9.116152926003096e-4,NS
SLC16A12,9.116200384022832e-4,NS
PSMD2,-9.136205513997631e-4,NS
SURF2,9.149739858536066e-4,NS
C13orf40,9.192953179305574e-4,NS
CHIC2,-9.193724644374068e-4,NS
SIAE,9.230492370879695e-4,NS
FUT6,-9.239114344212762e-4,NS
C20orf177,-9.25836746382469e-4,NS
NAA15,9.30560034200445e-4,NS
RBMY1A1,-9.321774239826053e-4,NS
SUPT16H,-9.333123621253492e-4,NS
C9orf62,-9.348652964875637e-4,NS
C17orf105,9.35037851084175e-4,NS
TNFSF4,-9.426004184224235e-4,NS
CASP4,9.482883704987621e-4,NS
C10orf119,9.500448902770575e-4,NS
SLAIN2,9.505811682286591e-4,NS
PHB2,9.588218708347362e-4,NS
KCNC3,9.62152863297705e-4,NS
ZNF462,-9.622637799524547e-4,NS
FLJ11292,9.625146300402676e-4,NS
BAAT,9.644233577352224e-4,NS
FOXA3,9.655549479543613e-4,NS
PRDM6,-9.685489176338713e-4,NS
MIR149,9.723713524598665e-4,NS
NDUFC2,9.738551379256943e-4,NS
ITSN2,9.767325170089158e-4,NS
NCRNA00167,9.772724739518512e-4,NS
RFXAP,9.785506314947678e-4,NS
SLITRK4,-9.851728098926316e-4,NS
RBFA,-9.892108566078583e-4,NS
FLJ45244,9.903910255497639e-4,NS
RNF19B,-9.906170586844176e-4,NS
UBR7,9.909446753140205e-4,NS
C10orf53,9.932555035148116e-4,NS
MARS,9.951366441556253e-4,NS
ZBED2,9.983280059886468e-4,NS
SLC16A6,-0.0010048202697251485,NS
ELFN1,-0.0010053154380813556,NS
NEIL1,0.0010077863492496952,NS
HPSE2,-0.0010094528144035664,NS
PCDHAC1,0.0010143656113201782,NS
HOXC8,0.0010152716524929328,NS
IL1F6,-0.001015895904254993,NS
REM2,-0.0010197380075569473,NS
CHRNA10,0.0010225891643500518,NS
NTN3,-0.0010259981821632014,NS
MAP1LC3C,-0.0010264119659386672,NS
WDR78,-0.001030597272808853,NS
OSBP,0.0010333503170647518,NS
USHBP1,-0.0010338332791519633,NS
PRKAR1A,0.0010361159993297342,NS
AGAP9,-0.001036175202598244,NS
C9orf140,0.0010368838484164922,NS
PNCK,0.0010456577045574456,NS
GPR35,0.0010476058080621797,NS
SEC22B,-0.0010495951155893302,NS
PFDN6,-0.0010502044845868141,NS
SOCS4,0.0010557505870882888,NS
PSMA6,0.0010572905874970395,NS
C6orf191,-0.0010596429155369513,NS
HM13,-0.0010597256293496393,NS
TMEM49,0.0010602555810250713,NS
ZNF428,-0.0010603721333979355,NS
MC3R,-0.0010608774256142262,NS
CASP3,0.001064953151214576,NS
MEMO1,-0.0010666407337569517,NS
CSNK1A1,0.00106732246410024,NS
B4GALT1,0.0010707275607455546,NS
LOC646870,-0.0010708545757380783,NS
C11orf68,0.0010759282706929163,NS
SIX4,-0.0010777840250604243,NS
SMC2,-0.0010795870927764462,NS
NOP58,-0.0010806746786005128,NS
MRPS26,0.0010829645317986802,NS
SSPN,0.0010831921830529723,NS
MGC16025,-0.001084168247156292,NS
PHF7,0.0010891084676780682,NS
RASGRP4,0.0010893247396308592,NS
INHBE,-0.001090126700848737,NS
TSKS,0.00109102169275066,NS
FGF12,0.001091980668900705,NS
C14orf142,0.0010926256674070878,NS
OR52A5,-0.0010942393373734038,NS
KCTD3,0.0010944678746516168,NS
CTNNB1,0.001095018484804644,NS
NPAS2,0.0011010545577563313,NS
ALG2,0.0011016327185848773,NS
SWAP70,-0.0011075210086888276,NS
NGRN,-0.0011141161966130575,NS
HEXB,-0.0011192806467925642,NS
ARGLU1,-0.001121049027209775,NS
FDPSL2A,0.001121605217263788,NS
HIST1H2BJ,0.0011235549992760774,NS
MRPL16,0.001124798006608474,NS
CAMLG,0.0011281205785849124,NS
MUC15,0.001131643831711604,NS
SENP6,0.0011320117913289351,NS
PIP5K1P1,-0.0011371446953695186,NS
PCDH15,-0.0011375015861652127,NS
FOXN4,-0.001140032576077532,NS
POTEF,0.0011424485761404313,NS
PRICKLE3,-0.0011517456792915493,NS
ANKRD28,0.0011523995931810305,NS
ST3GAL1,0.0011553598576936608,NS
MT1H,-0.0011555396064242274,NS
KCNQ4,0.0011728034065610071,NS
RPLP0,0.0011733506582158881,NS
SIPA1L3,-0.0011736594398543687,NS
UBB,-0.0011780732548802852,NS
LOC152217,-0.0011786928285797416,NS
MOSC2,-0.001180182598829571,NS
THADA,-0.001186733667061013,NS
NUP160,-0.0011875439928958897,NS
SDHC,-0.001188384400428788,NS
B3GAT2,0.00119047501033398,NS
NBPF11,-0.0011936987650607023,NS
ALDH8A1,0.0011963503231046113,NS
PATL2,-0.0011969461503271717,NS
LOC100128655,-0.0011984547285283087,NS
NCRNA00176,-0.0012035469617752703,NS
RPS6KA1,-0.0012050412538737731,NS
PITRM1,0.0012084259040894274,NS
KIAA0947,-0.0012119105040639955,NS
TBC1D22A,-0.001214061941407607,NS
CDC42EP2,-0.001214344802396905,NS
SCYL2,0.0012158659690402196,NS
FLJ35424,-0.001217485780625971,NS
FIBCD1,-0.001222228325267416,NS
ELF5,0.001223644604112728,NS
KLF6,0.0012304434063401537,NS
KIAA1967,-0.001232974125228603,NS
MEAF6,-0.0012332948724962378,NS
CXorf59,0.0012338133288755104,NS
FER1L6,-0.0012344517682416623,NS
SUZ12P,0.0012366042603200178,NS
ANXA11,0.0012379278268408456,NS
TACR2,0.001238698908044622,NS
AP2A2,0.0012510263913205755,NS
SNORD3A,-0.0012536092880384153,NS
RPS15A,-0.0012542415577208033,NS
PLIN3,0.0012562388485717335,NS
UCK1,-0.0012571793109237284,NS
FLJ31713,-0.0012575673761725525,NS
DERL2,0.0012625550961162801,NS
NOSTRIN,-0.0012627489380836465,NS
STRBP,-0.0012679648225029094,NS
ALDH1A1,0.0012704357444213166,NS
CAPN12,-0.0012707603523833821,NS
ALS2CR12,-0.0012738863019102764,NS
H2BFM,-0.0012756165361400562,NS
TAB2,-0.0012764071607658245,NS
PEX5,0.001284288374639564,NS
MED23,0.001286004634732718,NS
C14orf169,0.001286213506701328,NS
SNORA49,0.0012882794452862,NS
NHEDC2,0.00129010070787694,NS
SEBOX,0.0012916746099107534,NS
PPBPL2,0.0012960394995225055,NS
SPEF1,0.0012969868212511226,NS
KIR2DS2,-0.0012979234311847332,NS
AMN,-0.0012982122909779292,NS
METT10D,0.0012984923408347893,NS
CRLS1,-0.0013019712281947537,NS
ASPSCR1,0.0013028188736483592,NS
CD200R1L,-0.0013033051412052465,NS
C7orf43,0.0013114567416092626,NS
LOC388906,0.0013130250186155212,NS
ZNF587,-0.001314626697165533,NS
RSRC1,-0.0013151066379539778,NS
HSP90AB2P,-0.0013232625295451772,NS
CHURC1,-0.0013251971377772342,NS
MIR26A1,-0.0013277805856634073,NS
NUDT13,0.0013302545198732307,NS
PHLDA1,0.0013303127822696936,NS
MRPL40,0.0013309803134105014,NS
GDAP1L1,-0.00133428750056086,NS
FAM59A,0.0013383388260930218,NS
ANO8,0.0013390451647161683,NS
ADRBK2,-0.001341139520182999,NS
NME5,-0.0013424478202328505,NS
PLEKHH3,0.0013465885229344554,NS
CCBP2,-0.0013522114601995927,NS
C11orf80,0.0013555643016831542,NS
NPM1,0.0013568636138578949,NS
NMUR1,-0.0013588314486074893,NS
TCHH,-0.001360317929849586,NS
WIPI2,-0.001362605203794054,NS
BRF1,0.001363036074380819,NS
APOBEC2,-0.00136608731743737,NS
ZDHHC8P1,-0.0013671035708164858,NS
EGLN2,0.0013678420089853205,NS
BEST4,-0.0013746247330377326,NS
IGFBP1,-0.0013757037258910199,NS
JUP,0.0013759913831203896,NS
DECR2,0.001376356573396409,NS
PRR5L,-0.0013779786764300805,NS
C10orf96,0.0013793091683222403,NS
UROD,-0.0013811019520764134,NS
PPP2R3C,-0.0013821400016571506,NS
CREBBP,0.0013840397224287315,NS
ADNP,0.0013842456328534425,NS
SNRNP200,0.0013858602448113544,NS
KLC3,-0.0013956281668072723,NS
RPTN,0.001396231254202629,NS
DNAJC30,0.0013988014152710448,NS
MRPL11,-0.0014003046127588625,NS
ASB15,-0.0014008426918687977,NS
MAST3,-0.0014013082992996306,NS
RPL39,-0.0014066289272407495,NS
UQCR10,-0.00140975803975385,NS
ND1,-0.0014119835535248981,NS
UTP6,0.0014137010166113129,NS
NUDT15,-0.0014254704861427214,NS
CD74,0.0014296808884459722,NS
RAB6B,-0.0014309846080755584,NS
GP1BA,-0.0014319272282052875,NS
SIRPA,0.0014365428897098464,NS
PDZK1IP1,0.0014422374615927769,NS
MRPL4,-0.001447707323204428,NS
GABPA,-0.0014513675997083197,NS
C19orf21,-0.0014548427900138439,NS
TNFSF12,0.0014557817673899187,NS
GRRP1,-0.0014571139379797593,NS
GTF2F1,-0.0014587809570310029,NS
ZFP41,0.001460454446567061,NS
PLXNA4,0.0014605577699100536,NS
MED4,0.0014639275527779105,NS
LIX1,-0.0014654226161389117,NS
IL6R,-0.001466183239528407,NS
SNORD12C,0.0014744261223404997,NS
NME1,-0.0014755499891303536,NS
EPHX4,0.0014772792921757816,NS
SEC61B,-0.00147865116370971,NS
ATP8B2,0.0014806424472380009,NS
DNTT,-0.001483764755839223,NS
LOC100128252,0.0014850894263638281,NS
ZNF138,0.00148524585652976,NS
OGG1,0.0014853466695510242,NS
SLCO2B1,-0.0014864016181406203,NS
SF3B2,-0.0014919396338517465,NS
RAB3GAP2,-0.0014951615931648732,NS
GPR113,-0.0014994495651696749,NS
SOS2,-0.0015014228290937126,NS
FGR,-0.0015018503242523185,NS
SRSF6,-0.001503600918648651,NS
NBPF14,-0.00150810013283742,NS
KCTD14,-0.0015098757275329167,NS
TTC33,0.0015114376061111656,NS
LHFPL2,-0.0015124133335304712,NS
CHD4,-0.0015141647945640102,NS
RGL4,-0.0015206166872592242,NS
ZG16B,0.0015263711423507687,NS
REV1,0.001529650333657262,NS
IFIT1B,0.0015300500124629801,NS
FAM22A,0.0015307005715667898,NS
UCA1,0.0015314165455946327,NS
REEP5,0.001533074106832899,NS
BBS12,-0.001535119859311651,NS
CASP8,-0.0015375357512770194,NS
C8orf17,0.001539884590698537,NS
TAF4B,-0.0015407507513471863,NS
AHSA2,-0.0015416695224379495,NS
MANEAL,-0.0015419661879698676,NS
MDC1,-0.0015423568181622827,NS
POM121L1P,-0.001542690289020543,NS
BET1L,-0.0015482532789377057,NS
TXLNA,-0.0015612723367124381,NS
LOR,0.0015633715540487314,NS
UBFD1,-0.0015691456612552113,NS
MUC5B,0.0015704662525815039,NS
ZNF222,0.0015725881857573398,NS
FBXL18,0.0015772552955493069,NS
JAM3,0.00157761890661412,NS
CHRNB3,0.0015785872495535092,NS
POLR2J3,0.0015794371536839158,NS
SFSWAP,0.0015826845215487495,NS
SRPK1,0.0015832294155142534,NS
FAM182A,-0.0015836011525274252,NS
WDR85,-0.0015869824753060868,NS
PMS2,-0.0015885256556014138,NS
TRPC6,-0.0015912531930482032,NS
DAP,-0.0015929050669067912,NS
LIN54,-0.001593178198726175,NS
ZFHX3,-0.001604346850863525,NS
PLAC2,-0.0016135456894232902,NS
ELOVL3,-0.0016152340689364886,NS
NDUFA12,-0.001615836718000807,NS
TRIL,-0.0016199202093045706,NS
C12orf48,0.0016209491701101864,NS
KRTAP10-12,0.0016295361375822104,NS
PTMAP5,0.0016351401019969458,NS
HSPA12B,-0.0016387602061491702,NS
SLFN12L,0.001639513380967239,NS
ADAP1,0.0016431992299785758,NS
DHX38,0.0016490886032043406,NS
FARS2,-0.0016504144862470316,NS
RASGRP1,-0.0016510285868220897,NS
ALDH3B2,-0.0016617191590693192,NS
CERKL,-0.00166387969681292,NS
C6orf195,-0.0016723438853600836,NS
LOC644714,0.001676982618223244,NS
AQP3,0.0016775407793554464,NS
C3orf59,-0.0016793757679560706,NS
CCDC125,-0.0016799163806391348,NS
C1orf101,-0.0016807560571785451,NS
UNC5C,-0.0016854881620931295,NS
C18orf56,-0.0016857468053366187,NS
AASS,0.0016869740266547417,NS
ASB18,0.0016874710448440133,NS
ALOX12,-0.0016904997388358378,NS
C9orf86,-0.0016905853449356023,NS
STAMBP,0.0016914665677285612,NS
MSH6,-0.0016924265943689676,NS
ZNF653,-0.0016938037425848762,NS
NUDT10,0.0016968116070485983,NS
DENND3,-0.0016981359054495382,NS
DENND2C,0.001700363220718648,NS
PIK3CD,-0.00170072145861222,NS
NHS,0.0017037515313784724,NS
LY9,-0.001707089247161342,NS
XKR7,0.0017072976421019792,NS
RGS17,0.0017213671984159795,NS
CCL20,-0.0017227879520267386,NS
ATP5I,-0.0017241940512295884,NS
SLC2A14,0.0017249419029643498,NS
KLRG2,0.0017260633783968693,NS
ZNF777,-0.0017262174761771831,NS
MTMR7,-0.0017306121573562594,NS
POFUT2,-0.0017391551743113354,NS
MFSD4,0.0017398858940498307,NS
GDNF,-0.0017415942411369567,NS
IGF2BP3,0.0017427848615521047,NS
SLC39A13,0.001745534252490133,NS
DTX4,-0.0017506645128588794,NS
OR51B2,-0.0017531967563810813,NS
RANBP10,-0.0017578869930647834,NS
TSHZ3,0.0017606461742110113,NS
TMEM149,0.0017609073494027072,NS
HIST1H1E,-0.0017639511755476178,NS
LPCAT3,-0.00176526740411731,NS
CAMK2N2,0.0017660163546460161,NS
ZNF600,0.001766714235192035,NS
CST9L,0.0017697879090410318,NS
TRIP11,-0.0017718851057944018,NS
FAM194A,-0.0017754039188141446,NS
CARD9,0.0017764964291575591,NS
TBX1,-0.0017766246798744945,NS
SPANXN2,-0.001780742774458166,NS
F12,0.0017835661859466612,NS
ZMAT2,-0.0017870335752947497,NS
KRT39,0.0017877645849120327,NS
CD5,-0.0017878381918590147,NS
HIST1H2BM,0.0017910673534100585,NS
REEP3,-0.0017914902544768907,NS
MYOZ3,0.0017916453847457436,NS
ASB10,-0.0017927394630767868,NS
AARS,-0.0017933635308127194,NS
MGAM,0.0017941123908749024,NS
CNR2,-0.001795785158932306,NS
C21orf119,-0.0017975601376356565,NS
DMRTB1,0.001804119900928658,NS
ZBTB7B,-0.001806165083826361,NS
