"gene","log2FC","negLog10P","significance"
"ZBTB22",0.000855250159412346,0.00463054824560364,"NS"
"ZNF830",-0.000861000773313414,0.0020154502656283,"NS"
"MEGF6",0.0008704680420899,0.0147901992396712,"NS"
"RIPK1",-0.000874115725402858,0.00339001996446417,"NS"
"HIST1H2BK",0.000887807513823891,0.0053508227304925,"NS"
"CHTF8",0.000895706748789582,0.00316070323944495,"NS"
"TFDP3",0.000902691503357977,0.00453694311692001,"NS"
"MACROD1",0.000904215347935722,0.0120675713512636,"NS"
"NRBF2",-0.000909601425844508,0.00253059959653713,"NS"
"CGN",0.000914849991969113,0.00430652522164811,"NS"
"ZNF785",0.000915901733534064,0.00503748595253702,"NS"
"ZNF100",0.000922966067634423,0.00291387974254478,"NS"
"CLEC6A",-0.000928167261290191,0.00362710143596529,"NS"
"C8orf58",0.000944481459898672,0.00830938291609177,"NS"
"NSDHL",-0.000948564322195589,0.00994480366144036,"NS"
"GLYR1",-0.000962925759828703,0.00528997337074995,"NS"
"ARHGEF25",0.000971192123474296,0.00276456602417066,"NS"
"ITFG1",0.000987278672469616,0.00359593757858278,"NS"
"FAM71E2",0.000989228453522228,0.0143223503787111,"NS"
"SOST",0.000992429949808971,0.00629727349867183,"NS"
"SNX19",0.000993351149426225,0.00621790152134253,"NS"
"GNPNAT1",-0.000993596284224463,0.00608996893675952,"NS"
"FBXO11",0.000997973373854322,0.00419679261195098,"NS"
"ASB13",-0.00100501841581857,0.00649346082653806,"NS"
"LOC391764",0.00100587359681725,0.00678100774283923,"NS"
"MAP6D1",-0.00101053624247505,0.00432747592806742,"NS"
"REXO1",0.00101459787676639,0.0155046132543142,"NS"
"FAM13A",-0.001016322850528,0.00503076210312242,"NS"
"ESRRA",0.001022429363563,0.00706586089780246,"NS"
"C15orf17",-0.00103106708488587,0.004407976520401,"NS"
"PPP1R16A",-0.00103235297810134,0.00934454085179962,"NS"
"CCDC159",0.00103672255913567,0.00251815127399839,"NS"
"FAM19A5",0.00103943981244159,0.0103253639439248,"NS"
"METTL9",-0.00104301671375628,0.00611424457976199,"NS"
"FBXO3",-0.00104581833327688,0.00395977008141427,"NS"
"C1orf130",-0.00105663329940686,0.00459321123288444,"NS"
"HNRNPA3",-0.00105753353865756,0.0161640388640566,"NS"
"SETD6",0.00105784849036938,0.00272297572984767,"NS"
"FAM90A10",0.00105877261085863,0.00455314053799886,"NS"
"BIK",-0.0010600311077007,0.00287467036816719,"NS"
"SYCE1",-0.00108422425461696,0.00608906371312619,"NS"
"CLDN18",-0.00109363254328554,0.00276520344382888,"NS"
"MRPL13",0.00110050602553413,0.00338148954679358,"NS"
"KCNH4",0.00110446747350212,0.00410027480937706,"NS"
"RRN3P1",-0.00110701035280947,0.00303029733583584,"NS"
"MGEA5",0.00110822038499547,0.00393917261111997,"NS"
"DHX40",-0.00111822887896085,0.00480269910839332,"NS"
"UNC45A",-0.00111994694867024,0.0100486640779578,"NS"
"NCOA5",0.00112299083898737,0.00589193124129979,"NS"
"MDFIC",-0.00112988608023956,0.00781102712327981,"NS"
"COL4A5",-0.00113305969997857,0.010857719146231,"NS"
"NFU1",-0.00113878454345517,0.0076756602563216,"NS"
"LRRC31",0.00115176237311132,0.00200900170339137,"NS"
"NUP98",-0.00115529875750342,0.00578506823610715,"NS"
"DMP1",-0.00116285141984052,0.00314175507310895,"NS"
"STX11",-0.00116838080545523,0.0111319530194405,"NS"
"KCNG4",0.00117165882277281,0.0128730922618612,"NS"
"CES2",-0.00118640732873021,0.0075863478732304,"NS"
"NCRNA00219",0.00118854441915128,0.0074831336112688,"NS"
"RECQL4",0.00119388816617327,0.00599904680328594,"NS"
"RNF215",-0.00119906219904409,0.00913958622814872,"NS"
"CHML",-0.00120010900095013,0.00686572974381717,"NS"
"LOC388906",0.00121237552537257,0.0045934387086594,"NS"
"ZBTB47",0.0012245569994711,0.00540968117228172,"NS"
"USE1",0.00122874160713526,0.0093283210749478,"NS"
"ADCY6",0.00123533379048135,0.00608963024025358,"NS"
"C1orf127",0.00124209216307447,0.0152264816249379,"NS"
"IL15RA",-0.00126063777895169,0.0128458075003918,"NS"
"FAM134A",-0.00126513170508691,0.0120645797477617,"NS"
"RELL2",-0.00127277561945505,0.00641301926234729,"NS"
"IFT80",-0.00127599974917447,0.00301466054337032,"NS"
"UNCX",0.00127915093612385,0.0180060602856096,"NS"
"RAB32",-0.00129599834903216,0.00675000189735281,"NS"
"FBXW12",0.00129885865416912,0.00450292526137345,"NS"
"CCDC109A",0.00130168691073185,0.00459419422648542,"NS"
"SLC25A34",0.00130514556952699,0.00848919684158134,"NS"
"SCARF1",-0.00131011022160576,0.0090788275856827,"NS"
"RTDR1",-0.00131563260606593,0.00299592122070444,"NS"
"GALNT5",0.00131753647882304,0.0032548804225902,"NS"
"ELF5",0.00131783490833826,0.00742422025791384,"NS"
"FLJ16734",0.00131961719184126,0.00355683233775101,"NS"
"REM1",0.00132482128913813,0.00929293646300789,"NS"
"ZNF839",0.00133821350328622,0.00795493647255209,"NS"
"OSGIN1",-0.00133971742336869,0.0195317330548254,"NS"
"CCDC48",0.0013401916957072,0.00805710925270884,"NS"
"BZRAP1",0.00134074634240422,0.0169150550114162,"NS"
"CCDC101",0.00135239324803038,0.00598251639662693,"NS"
"POU2F2",-0.00135246192424354,0.0225408351523867,"NS"
"CABIN1",-0.00135813001951757,0.00726157759830521,"NS"
"C12orf34",0.00136232298345806,0.010658037585088,"NS"
"GOT2",-0.00137095061129111,0.00920865594252771,"NS"
"RASGRP1",-0.0013800380051896,0.0076590562844879,"NS"
"FLJ45949",-0.0013801126275772,0.00183624636657032,"NS"
"PNMA3",0.00138373275326775,0.00637593420219142,"NS"
"NLRP6",0.00138503850289684,0.0117815799340922,"NS"
"CALR3",0.00139080416345883,0.0073531749893927,"NS"
"KRBA2",0.00139089037689666,0.0104604286634353,"NS"
"SIGMAR1",0.00139361630372425,0.0122557180388936,"NS"
"CTHRC1",0.00139368998433498,0.0098017865133819,"NS"
"HCN2",-0.0013949489348386,0.00551123913135494,"NS"
"NECAB3",0.00140186960365529,0.0136920260833273,"NS"
"BASE",-0.00140318445047416,0.00441339884687515,"NS"
"EXOSC3",-0.00141335551355648,0.00524358119690097,"NS"
"GJC2",0.00142143298315678,0.00549287940379517,"NS"
"MYT1L",-0.00142255185068318,0.00962139423990321,"NS"
"INCA1",0.00142269179337484,0.0101784884827124,"NS"
"FMNL1",0.00142808847158737,0.00614478567952923,"NS"
"RNF5",0.00143989958600077,0.00812163140349645,"NS"
"GPHN",0.00144898811820604,0.00835729653843334,"NS"
"LOC121952",0.00145329473842581,0.0033549051423551,"NS"
"MSL1",0.0014537594350541,0.00422172059481177,"NS"
"ACSS1",-0.00145545715816908,0.0086112532753596,"NS"
"KCNB1",0.00145855031733988,0.00601147400371753,"NS"
"DMWD",0.0014593332408257,0.00611601901183843,"NS"
"SRPK3",-0.00146231381432749,0.0189066867845206,"NS"
"FBXW7",0.00146792423273401,0.00422760561007481,"NS"
"HIVEP3",0.00146987813814103,0.0133047903845614,"NS"
"MED15",-0.00147150327588497,0.0162260562126755,"NS"
"HS3ST2",-0.00147599643866103,0.0120288344079557,"NS"
"TBX2",0.0014781093915377,0.0175373973417895,"NS"
"MARCH8",-0.00149055727100844,0.0073105587571487,"NS"
"COPS6",-0.00149072586313226,0.0096985077083403,"NS"
"LRDD",0.00149514306721477,0.0108044188335927,"NS"
"PTMS",-0.00151111136138482,0.0144900672100526,"NS"
"TERF2",-0.00151420977748495,0.00885990284736672,"NS"
"LOC442454",-0.00151667519489829,0.00496506786094268,"NS"
"C3orf78",0.00151953870202526,0.00402320050617927,"NS"
"GPT",0.00152066732429113,0.00463540248632345,"NS"
"CELA3B",-0.00153125928784159,0.0107533502452393,"NS"
"BRIX1",0.00153438665048955,0.0114083718648248,"NS"
