"gene","log2FC","pvalue","negLog10P","significance"
"C1orf213",0.05987979023405,0.139158363692993,0.85649068658787,"NS"
"KRT36",-0.0598808883261644,0.218253721935376,0.661038341426684,"NS"
"C4orf39",-0.0598869985368957,0.357350915083885,0.446905101444799,"NS"
"IFNA14",-0.0598969188168483,0.119791312998357,0.921574674882175,"NS"
"GIF",0.0599053857028419,0.486079721067714,0.313292497033048,"NS"
"RFXANK",-0.0599178732037748,0.0579106713147307,1.2372414005891,"NS"
"HOXA4",-0.0599179792568227,0.311394799315556,0.506688644970907,"NS"
"CHID1",-0.0599249240524085,0.0587713679225472,1.2308342008238,"NS"
"EVX2",0.0599252818884792,0.2486639676484,0.604387141087883,"NS"
"CX3CL1",0.0599255565295969,0.19042439908929,0.720277406209132,"NS"
"KIF16B",-0.0599326467112835,0.332350198472037,0.478404057538901,"NS"
"INO80",0.0599326907174873,0.144069387798954,0.841428289292456,"NS"
"MLLT3",-0.0599467460275007,0.188102063986855,0.725606439041944,"NS"
"FLJ46111",-0.0599499749464345,0.359057038445386,0.444836555559755,"NS"
"C10orf35",-0.0599555274597228,0.0510921920242131,1.29164546424672,"NS"
"LOC152586",0.0599778315056542,0.208135699469002,0.681653423139227,"NS"
"CDKN2A",0.0599816570128777,0.414869397120859,0.382088599761826,"NS"
"TNNC1",-0.0599857836563145,0.141151928947056,0.850313182516438,"NS"
"PRMT10",0.0599897342089686,0.346103271685163,0.460794295337202,"NS"
"OCM2",0.0599904560449742,0.212724030193409,0.67218344761059,"NS"
"SYN3",-0.0600048592092006,0.134474979184131,0.871358514272127,"NS"
"PHF12",-0.0600190811965562,0.222889936809155,0.651909538908329,"NS"
"RFX3",-0.0600279028659227,0.238086282707028,0.623265625662977,"NS"
"BUD13",-0.0600315497641513,0.0440556490057111,1.35599839656604,"NS"
"OR1A1",0.0600316941340726,0.394539061068595,0.403909993299262,"NS"
"FAM120B",-0.0600320701314683,0.195453611828275,0.708956299738789,"NS"
"TGFA",0.0600367857029378,0.35651654282465,0.447920313523829,"NS"
"GPNMB",0.0600383698802869,0.186760586677867,0.728714770473938,"NS"
"FLT1",-0.0600571237234684,0.344342797315132,0.463008996805301,"NS"
"PM20D2",-0.0600581674296974,0.31805491984224,0.497497882138035,"NS"
"MIRLET7A2",0.0600647351764205,0.232156715498901,0.63421874916372,"NS"
"TNFRSF10A",-0.0600675809774271,0.0996544874943431,1.00150314001266,"NS"
"CENPL",0.0600766670148237,0.397606804082353,0.40054619230758,"NS"
"SLC36A1",-0.0600817146811041,0.356588237243357,0.447832986972661,"NS"
"TLE4",0.060090620989286,0.384581911625787,0.415011146165781,"NS"
"CACNA1S",0.0600931676489151,0.0363182245300236,1.43987539075835,"NS"
"PPP1R1B",-0.0600933474614318,0.233453206936776,0.631800155807368,"NS"
"BTN3A3",-0.0600941447896519,0.188227823225946,0.725316180162836,"NS"
"MB",0.0600994680657376,0.266002312803716,0.575114587303049,"NS"
"LTB4R2",0.0601020888877997,0.0252107732556979,1.59841383359636,"NS"
"LOC732275",-0.0601040839161799,0.705439097520518,0.15154047411725,"NS"
"PDCD10",0.0601190000345537,0.211847650877091,0.673976347413632,"NS"
"C12orf59",0.060121793593013,0.346622670758515,0.460143035784433,"NS"
"SERPINB2",0.0601298092770151,0.338870148160425,0.469966687463067,"NS"
"TRIP4",-0.0601484375043,0.228648308374396,0.640832007344235,"NS"
"ASXL3",0.0601491163808872,0.152256301173707,0.817424724912869,"NS"
"C18orf8",-0.0601498307558674,0.127944253860376,0.892979214057909,"NS"
"CNN3",0.0601511303133702,0.0704855138534769,1.15190012981629,"NS"
"JKAMP",0.0601544384879891,0.216145208454906,0.665254387540274,"NS"
"STGC3",0.0601582757314643,0.325153584986687,0.487911453308081,"NS"
"SHFM1",-0.0601625559334114,0.353328159139617,0.45182174928574,"NS"
"CKAP2L",-0.0601663865461208,0.322731672346764,0.491158411570207,"NS"
"ANUBL1",-0.0602140837162095,0.199251806063534,0.700597733370385,"NS"
"LRRC37A4",-0.0602219485758639,0.100411830261805,0.99821511672539,"NS"
"DKK3",0.0602337524721313,0.00179438295021112,2.74608486596566,"NS"
"LIMCH1",0.0602504442069836,0.09749410118264,1.01102166021252,"NS"
"DDX3X",-0.0602699140557137,0.0863961350054964,1.06350568556891,"NS"
"DDX47",0.0602715217259897,0.154545990136013,0.810942258697698,"NS"
"ARAF2P",0.0602808477788754,0.204936756490329,0.688380141602213,"NS"
"PECI",-0.0602932073905409,0.224701060758168,0.648394877379129,"NS"
"RAC1",0.06030174743562,0.304707950814096,0.516116213484455,"NS"
"FCGR2C",0.0603223802063733,0.233547323123468,0.631625106151275,"NS"
"CHUK",0.0603243688481441,0.511768797803018,0.290926196282089,"NS"
"CNRIP1",0.060327198700814,0.161520251764502,0.791773017121322,"NS"
"PMS1",-0.0603281507483722,0.107093348745096,0.970237501091601,"NS"
"OR13F1",0.0603317219491001,0.203431472517432,0.691581857296777,"NS"
"FAM198B",0.0603331609676621,0.192463088339716,0.715652549622981,"NS"
"FAM179B",0.0603383493262162,0.207881925578139,0.682183269027901,"NS"
"INPP4B",-0.0603440788970564,0.268614836714631,0.570870003114288,"NS"
"PALM3",-0.0603444488308293,0.0398973172281952,1.39905630612183,"NS"
"ANXA8L2",0.0603477439862496,0.088781365821446,1.05167817802934,"NS"
"FAM185A",-0.0603513287692357,0.354229488032849,0.450715288552799,"NS"
"DPH2",-0.0603816551757099,0.25866887842094,0.58725582000051,"NS"
"OR2AJ1",-0.0604061691985036,0.447069899635066,0.349624569368056,"NS"
"CCDC79",0.060419435029612,0.0695363108969854,1.15778835362373,"NS"
"IGLV6-57",0.060427993941832,0.060834114899304,1.21585280629526,"NS"
"KIFAP3",0.0604340621001234,0.0450681617550921,1.34613015561664,"NS"
"LOC654433",0.0604369611235296,0.343108373924,0.464568682396741,"NS"
"ASB13",-0.060440670536271,0.0946797430250906,1.0237429294812,"NS"
"HIF1A",0.0604695924821068,0.453815865041465,0.343120325596244,"NS"
"C1orf114",0.0604778422179093,0.166148660097944,0.779503156729029,"NS"
"GFPT2",-0.0604782464049185,0.401953091723619,0.395824626503234,"NS"
"S100A7",0.0604887896001203,0.203816941283563,0.690759720230568,"NS"
"CCDC153",-0.0604976020538823,0.139133298292657,0.856568919367137,"NS"
"PRDM9",-0.0605064475791772,0.282701467140974,0.548671937638617,"NS"
"CLRN2",-0.060513500207809,0.32535686600136,0.487640023923086,"NS"
"MAN2A2",-0.0605142649656369,0.00336721424143116,2.47272925043362,"NS"
"ZNF581",-0.0605143155383987,0.15406524996206,0.812295307106355,"NS"
"ZBTB41",0.0605224881073683,0.389535154206413,0.409453342641145,"NS"
"SLC39A11",0.0605329612095031,0.29318003188095,0.532865612268398,"NS"
"ZNF626",-0.0605338446513806,0.375921638626971,0.424902674909183,"NS"
"PDGFRL",-0.0605394061293214,0.30470795758436,0.516116203834925,"NS"
"PP13004",0.0605534961934329,0.117920474752791,0.928410780993655,"NS"
"PDE8A",-0.0605788337277051,0.151359378742126,0.819990663509805,"NS"
"KPNA3",0.0605852964995672,0.220643192398684,0.656309467488465,"NS"
"NARF",-0.0605876563844665,0.0834636683790603,1.07850253117749,"NS"
"KIAA0664L3",0.060599294566607,0.139054139557236,0.856816077924558,"NS"
"GTDC1",0.0606037855840444,0.171084238816116,0.766789998118035,"NS"
"LIN52",-0.0606098030312585,0.11302597884067,0.946821723150021,"NS"
"MTNR1A",-0.0606118236935862,0.212458137023551,0.672726631028907,"NS"
"C21orf122",-0.0606334345473363,0.263654883826732,0.578964179578655,"NS"
"KRTAP8-1",0.0606412500196625,0.0981923361066627,1.00792240749282,"NS"
