"gene","log2FC","pvalue","negLog10P","significance"
"KLHDC7A",0.000646461354754546,0.989367304240761,0.00464244592498532,"NS"
"CCDC85A",-0.000652014221065755,0.990743904562857,0.00403859093206104,"NS"
"TDP1",0.000655507712103098,0.990986393646469,0.00393230838538445,"NS"
"SPINK9",0.000657856974008775,0.995457093342747,0.00197745439705837,"NS"
"LEP",-0.000657876179205319,0.996734514119973,0.00142050307915012,"NS"
"BLVRB",0.000658934617533635,0.989535786330866,0.00456849501495107,"NS"
"YEATS2",0.0006605709518539,0.987497210342759,0.00546412257183898,"NS"
"BIRC6",-0.00066283012887558,0.989072136701648,0.00477203253933593,"NS"
"GIMAP1",0.000672967558383197,0.99223489991779,0.00338550157401595,"NS"
"KLC2",0.000685565848838721,0.985820284288327,0.00620225002400277,"NS"
"KIF5B",0.000688341483388477,0.98609960951581,0.00607921317433687,"NS"
"ILKAP",-0.000689194836787976,0.970746994370035,0.0128939454438041,"NS"
"ABCA4",0.00069435567793763,0.993830987489794,0.00268746614752081,"NS"
"ABHD14A",0.000718590609238845,0.992522046642847,0.00325983758349551,"NS"
"PTPRF",0.000724275809547592,0.990262621358182,0.00424961360301188,"NS"
"C6orf208",0.000734152058758708,0.9944587863909,0.00241321074356712,"NS"
"PCGF2",-0.000745533238451834,0.971317312498361,0.0126388704472601,"NS"
"POU4F1",-0.000746813405850366,0.984470709257979,0.00679720080251938,"NS"
"NELF",0.000754389161280233,0.990092583999783,0.00432419243255925,"NS"
"RPL13AP5",0.000763256954942282,0.988697980524699,0.0049363529156451,"NS"
"STK10",-0.000765955682148434,0.994144434277887,0.00255051454331401,"NS"
"APOA5",-0.00076829827458913,0.995516703332456,0.00195144874128522,"NS"
"SRSF11",-0.000773539783272437,0.989730354665264,0.00448310987901192,"NS"
"CDK10",-0.000776960561193141,0.988231742236736,0.00514120058133304,"NS"
"C4A",0.000790444263256695,0.992423133927852,0.0033031206391373,"NS"
"SNRPB",-0.000799786811317427,0.994418724223933,0.00243070682158748,"NS"
"SH3BP2",-0.000802758257223868,0.982610644516907,0.0076185355096485,"NS"
"SMARCA4",0.000807174353934847,0.979313122443118,0.00907842606529005,"NS"
"TRIM15",0.000807325700479478,0.989732348517642,0.00448223497585317,"NS"
"CLDN10",-0.000815867831904016,0.994062289835498,0.00258640103100799,"NS"
"TBC1D26",-0.000822816920137415,0.996045934617195,0.00172063277030528,"NS"
"MORF4",0.00083533410161496,0.984698873074993,0.00669655910255472,"NS"
"POU6F2",-0.000839293017076415,0.98841866437756,0.00505906237998421,"NS"
"NRAP",-0.000839777956297638,0.988877010281251,0.00485771960369388,"NS"
"NFIC",0.000843939133351679,0.984560465179971,0.00675760721743858,"NS"
"PHACTR3",0.000849216096781014,0.990743838770573,0.00403861977223551,"NS"
"ZNF675",-0.000850580086608321,0.9968428732638,0.00137329169064652,"NS"
"CHST13",-0.00086587188234577,0.984948941748656,0.00658628208263765,"NS"
"E2F7",0.000875258066801665,0.985158750328913,0.00649378083575433,"NS"
"C12orf57",0.0008764724794732,0.980220409157709,0.00867625928890802,"NS"
"KCNQ2",0.000877209168055559,0.990157514155068,0.00429571238533102,"NS"
"CTNNBIP1",0.000879068117701554,0.987833066970614,0.00531644024927369,"NS"
"EGR1",-0.000885540087693926,0.996842103184981,0.00137362719097407,"NS"
"SRSF2IP",0.000888391993636439,0.992167830301263,0.00341485848219641,"NS"
"NSMAF",0.000889778646540496,0.993317672991644,0.00291183754299741,"NS"
"ENY2",0.000905618477570425,0.994580267650315,0.0023601613672095,"NS"
"MYST1",-0.000913205656265736,0.986554875385353,0.00587875287075615,"NS"
"P2RX7",0.000913543375354875,0.982841168494855,0.00751666041775814,"NS"
"SYNE2",0.000916009941080098,0.992833455055978,0.00312359703973954,"NS"
"TMBIM6",0.000917716334129626,0.961887270177561,0.0168758227735889,"NS"
"TIMM50",0.000918079258451332,0.985632191164456,0.00628512070645275,"NS"
"OSBPL9",-0.000918261287152333,0.986805705821836,0.00576834803538809,"NS"
"IMMT",-0.000918797292816631,0.986802025812683,0.00576996761524995,"NS"
"EIF3D",-0.000921600348990914,0.964864297280722,0.01553376342968,"NS"
