gene,log2FC,pvalue,negLog10P,significance,|log2FC|
CHCHD2,0.0155101942430704,0.350497963399778,0.455314501197488,NS,0.0155101942430704
ST13P4,-0.015507494342244,0.33188254465958,0.479015588680203,NS,0.015507494342244
SGSH,0.0155035905674343,0.288143372221984,0.540391365464972,NS,0.0155035905674343
TUBB3,0.0155031619370387,0.24700521877875,0.607293870777299,NS,0.0155031619370387
MARCO,-0.0154975665128263,0.336349513642827,0.473209195965092,NS,0.0154975665128263
FAM47B,-0.0154972600523869,0.602162846422649,0.220286044059727,NS,0.0154972600523869
DCAF16,0.0154963984460093,0.338824317500974,0.470025427805626,NS,0.0154963984460093
FAM195A,-0.0154955177249039,0.351589636579919,0.453963934629228,NS,0.0154955177249039
NUDT11,-0.0154916727448589,0.608492693930752,0.21574463190328,NS,0.0154916727448589
RSPRY1,-0.0154897444001147,0.556706948450088,0.254373358081065,NS,0.0154897444001147
PPIAL4G,0.0154890494800259,0.170001567230302,0.769547074878581,NS,0.0154890494800259
CCDC121,-0.0154877439847889,0.587805164738069,0.230766602327051,NS,0.0154877439847889
BPIL3,-0.0154811948049545,0.500096653696634,0.300946051443032,NS,0.0154811948049545
MXRA8,0.0154764247307999,0.184640230336345,0.733673666747168,NS,0.0154764247307999
WDR11,0.0154756662736011,0.491437017972764,0.308532132968289,NS,0.0154756662736011
WDR81,-0.015470211171805,0.293385999270108,0.532560615049025,NS,0.015470211171805
RIF1,-0.0154699458972942,0.402708176440617,0.395009552545555,NS,0.0154699458972942
GNPTG,0.0154571942043775,0.333971741592464,0.476290278666436,NS,0.0154571942043775
ANKRD6,-0.015454147791508,0.527307777130333,0.277935823320762,NS,0.015454147791508
LOC158960,0.0154534046396226,0.192743673542517,0.715019867962692,NS,0.0154534046396226
AKAP8,0.0154489888021803,0.186730036692866,0.728785817451329,NS,0.0154489888021803
DNA2,0.0154365132667154,0.699137932385093,0.155437134176783,NS,0.0154365132667154
ANO1,-0.0154282942562729,0.589171686334214,0.229758132101424,NS,0.0154282942562729
TRPM2,-0.0154278245581665,0.265036390758038,0.576694491269399,NS,0.0154278245581665
ADAMTS14,0.0154261539834673,0.384346147478078,0.415277467755628,NS,0.0154261539834673
SLC6A3,0.0154183021635672,0.292174082234747,0.534358311473782,NS,0.0154183021635672
MAN2C1,0.0154178172542063,0.289076428298125,0.538987319873493,NS,0.0154178172542063
CPSF6,0.0154169530474202,0.203655586500526,0.691103672231189,NS,0.0154169530474202
HNRNPUL2,0.0154080566419572,0.361207934144701,0.442242718720055,NS,0.0154080566419572
ATHL1,0.0154020035565452,0.387920112452337,0.411257702996929,NS,0.0154020035565452
HIST2H2BC,0.0154019189495629,0.266038500061791,0.575055509404733,NS,0.0154019189495629
GTF2E2,-0.0154018415096064,0.464539974370528,0.332976908362349,NS,0.0154018415096064
CHST8,-0.0154018019915785,0.2510571849903,0.600227345064428,NS,0.0154018019915785
BCORL1,-0.0153908802871097,0.284534210251461,0.545865509830485,NS,0.0153908802871097
WNT16,-0.0153894108539052,0.520314348975154,0.28373419717757,NS,0.0153894108539052
HIST1H2AC,-0.0153867723052716,0.287006009061687,0.542109010321715,NS,0.0153867723052716
C11orf71,0.0153812227659544,0.56558731291349,0.247500341066639,NS,0.0153812227659544
FBXW4P1,0.0153767197099421,0.405577493924471,0.39192615262837,NS,0.0153767197099421
MXI1,-0.0153751892065599,0.299913889329065,0.523003421138464,NS,0.0153751892065599
KRTAP10-12,-0.0153727575191649,0.154162188065469,0.812022134250272,NS,0.0153727575191649
C19orf70,0.0153718635229443,0.310623503372738,0.507765686408796,NS,0.0153718635229443
IL7R,-0.0153702159528535,0.792129515379251,0.101203804248963,NS,0.0153702159528535
IER5,-0.0153681367810932,0.135344664794192,0.868558859185015,NS,0.0153681367810932
KCNH3,-0.0153679665924005,0.392128610214324,0.406571469852523,NS,0.0153679665924005
POU4F1,-0.0153678664578354,0.377077645708338,0.423569213108248,NS,0.0153678664578354
C1orf216,0.0153600802402429,0.336937194163959,0.472451045033827,NS,0.0153600802402429
FNDC4,-0.0153560336162766,0.235642440218609,0.627746488533273,NS,0.0153560336162766
CNTNAP2,0.0153541023787545,0.753144402153428,0.12312174750984,NS,0.0153541023787545
SLC6A11,-0.0153511743149304,0.376374259364866,0.424380086089794,NS,0.0153511743149304
RASSF6,-0.0153439589448339,0.71318242512106,0.146799367637722,NS,0.0153439589448339
STK40,0.0153436554408715,0.391005912154685,0.407816675860542,NS,0.0153436554408715
DRGX,-0.0153424780610489,0.505090719916143,0.296630610751628,NS,0.0153424780610489
PDHB,0.0153398839389027,0.472993734995751,0.325144611640188,NS,0.0153398839389027
MFN2,-0.0153383858617602,0.406287368557079,0.391166679645614,NS,0.0153383858617602
EIF2C2,0.0153364810390735,0.292670094705359,0.533621651901593,NS,0.0153364810390735
CDK5RAP2,0.0153330301894508,0.304958354632026,0.515759464221724,NS,0.0153330301894508
FAM76B,0.0153319753666272,0.451980915817003,0.344879902202649,NS,0.0153319753666272
FOXRED1,0.0153280538975886,0.456564054454804,0.340498283749071,NS,0.0153280538975886
SLC17A4,-0.0153269348258029,0.569935879491494,0.244174001782654,NS,0.0153269348258029
LRRC33,-0.0153259223972344,0.34585600715911,0.461104676676362,NS,0.0153259223972344
C1QA,-0.0153245773225654,0.580440290353502,0.236242449316845,NS,0.0153245773225654
ARNT,-0.0153236816823106,0.206409010866998,0.685271347333619,NS,0.0153236816823106
HOXA2,-0.0153235859574827,0.628056797363718,0.202001079724167,NS,0.0153235859574827
SLC38A10,0.0153205880311926,0.346006378022574,0.460915895674045,NS,0.0153205880311926
CDCA4,-0.0153201882244842,0.445919786316814,0.350743256743103,NS,0.0153201882244842
ARRB1,-0.0153182281252162,0.414312914378138,0.382671529275326,NS,0.0153182281252162
CAPN7,0.015310171941525,0.48028019147736,0.31850532489441,NS,0.015310171941525
ZC3H15,-0.0153086245298093,0.266465145866605,0.57435958944316,NS,0.0153086245298093
BEX5,-0.0153082327060312,0.487098009461425,0.312383645180202,NS,0.0153082327060312
MOCS1,-0.0153072995082497,0.504157167563599,0.29743405409977,NS,0.0153072995082497
LSM5,0.015306217347355,0.54239205508778,0.265686680602658,NS,0.015306217347355
HSD11B2,-0.0153000196425426,0.473827055424157,0.324380144782632,NS,0.0153000196425426
SAV1,0.0152990355517928,0.481269262919083,0.31761187439349,NS,0.0152990355517928
ISG20,-0.0152985175731741,0.348473591102538,0.457830129109803,NS,0.0152985175731741
CDK5RAP1,0.0152925143432796,0.372340100389665,0.429060188492548,NS,0.0152925143432796
PWWP2A,0.0152909669978838,0.236133613718944,0.626842186519026,NS,0.0152909669978838
C4orf49,-0.0152715963912884,0.49948533610583,0.301477257271438,NS,0.0152715963912884
SAFB,0.0152710386748662,0.254298557973192,0.594656102529997,NS,0.0152710386748662
SOD1,-0.0152702935939653,0.265524310373196,0.575895710448429,NS,0.0152702935939653
ZDHHC7,0.0152693497119429,0.389643883716934,0.40933213653973,NS,0.0152693497119429
CLEC3B,-0.0152659586638655,0.2915315979723,0.53531436686963,NS,0.0152659586638655
DRG1,0.0152642704925052,0.62453418947783,0.204443781637122,NS,0.0152642704925052
CTSK,-0.0152627128388796,0.598082296491907,0.223239052711896,NS,0.0152627128388796
RETNLB,-0.015258349493749,0.53510077872086,0.271564417005699,NS,0.015258349493749
INSIG1,0.0152560931552557,0.658584506135851,0.181388490719244,NS,0.0152560931552557
NANP,-0.0152555442516451,0.482042871560988,0.316914335092297,NS,0.0152555442516451
OR2T34,-0.015255109775635,0.399786660796527,0.39817170056084,NS,0.015255109775635
YY1AP1,-0.015249752978268,0.153957316217874,0.812599668127763,NS,0.015249752978268
ELOVL6,0.0152457616322077,0.641840891224318,0.192572617768146,NS,0.0152457616322077
TPT1,0.0152436691875688,0.126239214268387,0.898805717239581,NS,0.0152436691875688
KLHL22,0.0152413098663238,0.411847296276358,0.385263780757419,NS,0.0152413098663238
SHKBP1,0.0152369595833828,0.233803477731945,0.631149033171783,NS,0.0152369595833828
FAM54B,-0.0152366270675013,0.167118463425803,0.776975566139062,NS,0.0152366270675013
LOC401433,0.0152340852530277,0.470724070281802,0.327233593655819,NS,0.0152340852530277
ZNF696,0.0152337095174144,0.425856484956231,0.370736734917787,NS,0.0152337095174144
NCRNA00087,-0.0152295895640457,0.544541627090973,0.263968915311523,NS,0.0152295895640457
SNORD38A,0.0152294993650526,0.815395268044349,0.088631813202958,NS,0.0152294993650526
CST9L,-0.0152244920912277,0.647600454567229,0.188692855076215,NS,0.0152244920912277
MCOLN3,0.0152243694725834,0.48447573919311,0.314727965978263,NS,0.0152243694725834
DARC,-0.015223973868657,0.396431066273967,0.401832319417092,NS,0.015223973868657
GTF3C3,0.0152224605154905,0.651280488149894,0.186231932751401,NS,0.0152224605154905
TPP2,-0.0152217354405795,0.399313738303803,0.398685747739813,NS,0.0152217354405795
MFAP2,-0.0152076650022868,0.322582706919221,0.491358918071856,NS,0.0152076650022868
CNTN5,0.0152016414486209,0.633015395607036,0.198585727350935,NS,0.0152016414486209
EME2,0.015201629262243,0.242249119951801,0.615737791989358,NS,0.015201629262243
GK5,0.0151949307591757,0.46814886156873,0.329616028382841,NS,0.0151949307591757
ZNF672,0.015194791312652,0.463865323489107,0.333608092193939,NS,0.015194791312652
H2AFY2,0.0151945479264706,0.527691117392471,0.27762021622633,NS,0.0151945479264706
APOA4,-0.01519019174239,0.265323502640368,0.576224278042804,NS,0.01519019174239
C9orf37,-0.0151890066222655,0.485334303978089,0.313959011174156,NS,0.0151890066222655
ATAD2,0.0151882180697052,0.58861784813817,0.230166573309463,NS,0.0151882180697052
TMEM151A,-0.0151867706891615,0.22480891035685,0.648186479392469,NS,0.0151867706891615
SHB,-0.0151792399134836,0.383148998170925,0.416632305666235,NS,0.0151792399134836
STS,-0.0151757659265426,0.447935976087495,0.348784055686968,NS,0.0151757659265426
MLLT3,0.0151662533502213,0.562798109882061,0.249647369782369,NS,0.0151662533502213
CYB561D1,-0.0151641120983259,0.471692157881904,0.326341344057302,NS,0.0151641120983259
IFT57,0.0151633560734963,0.536618099803356,0.270334682927307,NS,0.0151633560734963
ZSCAN20,-0.0151613399673178,0.49483581612325,0.305538873752391,NS,0.0151613399673178
KIAA0090,-0.0151612715528353,0.51960917708567,0.284323187232438,NS,0.0151612715528353
GTF2H1,0.0151578349835502,0.410606112672478,0.386574589597267,NS,0.0151578349835502
CCDC107,-0.0151566340431022,0.272800034414151,0.564155579228627,NS,0.0151566340431022
ZNF493,0.0151513628191613,0.56885916693558,0.244995239041167,NS,0.0151513628191613
PTMS,-0.0151495872702774,0.0391495540103264,1.4072731810379,NS,0.0151495872702774
RAB9A,0.0151476713406458,0.467198452243866,0.330498604643649,NS,0.0151476713406458
SEMA3B,0.0151439364449859,0.557794253148166,0.253525964503273,NS,0.0151439364449859
EWSR1,0.0151406695238951,0.107583926418444,0.968252609610351,NS,0.0151406695238951
NDUFS5,-0.0151397492057419,0.358497802955439,0.445513501550583,NS,0.0151397492057419
LCE3E,-0.0151389483983886,0.234232307187161,0.630353203775,NS,0.0151389483983886
TMEM149,-0.0151346340836898,0.293017951606598,0.533105771984238,NS,0.0151346340836898
ZNF628,0.0151308642600712,0.210762988066545,0.67620565289858,NS,0.0151308642600712
TREML2,-0.0151296800766139,0.49905370721111,0.301852713915095,NS,0.0151296800766139
DUSP4,0.0151288924047828,0.646750740993829,0.18926306503222,NS,0.0151288924047828
RAMP1,-0.0151267529120349,0.25363385316071,0.595792780523449,NS,0.0151267529120349
LIMK2,0.0151259377781394,0.499085603307719,0.301824957671833,NS,0.0151259377781394
DAZL,-0.0151248145779788,0.497072961061972,0.303579860238512,NS,0.0151248145779788
VCX2,-0.0151195175281509,0.453724902113915,0.343207384379837,NS,0.0151195175281509
HADHB,0.0151124926654127,0.345112599858318,0.462039184582612,NS,0.0151124926654127
METT11D1,-0.0151086691795241,0.467481783695338,0.330235307560942,NS,0.0151086691795241
MRPL28,-0.0151075107351542,0.490686964922508,0.309195478879526,NS,0.0151075107351542
LYPD6,-0.0151072528180767,0.5960615177633,0.22470891568525,NS,0.0151072528180767
ZNF774,-0.0151028781503593,0.481126550409671,0.317740676399759,NS,0.0151028781503593
RNF32,0.0150930023087787,0.229465850143392,0.639281938439721,NS,0.0150930023087787
PSME1,0.0150866824475142,0.171383246006601,0.766031635869772,NS,0.0150866824475142
LGALS9B,-0.0150842158218909,0.350860232925145,0.45486585264488,NS,0.0150842158218909
DMRTA1,0.0150819649279423,0.407984326763147,0.389356520564588,NS,0.0150819649279423
C1QC,0.0150814841197557,0.573050036557927,0.241807455428322,NS,0.0150814841197557
ACCS,-0.0150798904741656,0.411488769670211,0.385642013032056,NS,0.0150798904741656
IL1R1,-0.0150792499014556,0.639207548686221,0.194358104887098,NS,0.0150792499014556
MAN1A2,-0.015078900811897,0.411167414249361,0.385981311260967,NS,0.015078900811897
TMPRSS4,-0.0150718167007147,0.567252391100467,0.246223664787143,NS,0.0150718167007147
PTK2B,-0.0150688192183577,0.377978532161481,0.42253286584682,NS,0.0150688192183577
RAB20,0.0150633345236435,0.308317914383155,0.51100124046415,NS,0.0150633345236435
CCL20,-0.0150627557620506,0.676216756457946,0.169914071743782,NS,0.0150627557620506
SNORA14A,0.0150562910145373,0.530585469712476,0.275244647512562,NS,0.0150562910145373
APOD,-0.0150562587590146,0.515386610023238,0.287866868805216,NS,0.0150562587590146
ABCD1,-0.0150560705923675,0.54039173505468,0.26729130185503,NS,0.0150560705923675
C15orf62,-0.0150539741027258,0.294440119140641,0.531003015209817,NS,0.0150539741027258
FAM72D,0.0150475307843227,0.675368153086152,0.170459422328151,NS,0.0150475307843227
TAAR5,-0.015047472607301,0.609851680926281,0.214775774804921,NS,0.015047472607301
COMT,0.0150463139777659,0.34803374676536,0.458378643055141,NS,0.0150463139777659
C2CD2L,0.0150416134448832,0.387993572949422,0.411175468363831,NS,0.0150416134448832
NUPL1,0.0150396970935127,0.409329295482995,0.387927172014114,NS,0.0150396970935127
CD19,-0.0150316802723793,0.292541415756424,0.533812641167393,NS,0.0150316802723793
MIXL1,-0.015031553473825,0.265426124732035,0.576056333662294,NS,0.015031553473825
MTCH1,0.0150299377034799,0.281278812082467,0.550862980747104,NS,0.0150299377034799
RPPH1,0.0150255841244951,0.0801172054591225,1.09627420759175,NS,0.0150255841244951
UNC5B,-0.0150223542605752,0.369055626641816,0.432908169009398,NS,0.0150223542605752
C6orf141,-0.0150208216178906,0.394405975074607,0.404056514313294,NS,0.0150208216178906
METTL7B,-0.0150160258618033,0.507032422451228,0.294964268592811,NS,0.0150160258618033
CABP4,0.0150153114886429,0.380560586874047,0.419576191848918,NS,0.0150153114886429
ASNS,0.015014394936443,0.496494599641459,0.304085470952426,NS,0.015014394936443
RNF150,-0.0150135022528688,0.512798038225439,0.290053644935214,NS,0.0150135022528688
TRIM16,-0.0150125177025644,0.65468585937938,0.183967039343511,NS,0.0150125177025644
FXN,0.0150075678018373,0.451123505802043,0.345704543387415,NS,0.0150075678018373
KLF14,-0.0150047915115319,0.167174963463184,0.776828763045001,NS,0.0150047915115319
PITX2,-0.0149989876409793,0.354630417564634,0.450224016580782,NS,0.0149989876409793
ST20,-0.0149988060445794,0.751032074423749,0.124341515129266,NS,0.0149988060445794
KRBA1,-0.0149935393151495,0.370516642412659,0.431192280139017,NS,0.0149935393151495
KDM6B,0.0149897274961672,0.409887991065087,0.387334805495565,NS,0.0149897274961672
C3orf10,0.0149876683561834,0.400925630087377,0.396936179594518,NS,0.0149876683561834
WDR73,-0.014985998218795,0.530080572857691,0.27565811212013,NS,0.014985998218795
ARRDC3,0.0149857793787644,0.495880046308554,0.304623366910417,NS,0.0149857793787644
APH1B,-0.0149843211004554,0.607415172444695,0.216514364168311,NS,0.0149843211004554
KRT72,-0.0149814989297596,0.457966990218577,0.339165824359819,NS,0.0149814989297596
GFI1B,-0.0149757845122012,0.373489136439667,0.427722025851048,NS,0.0149757845122012
RAPGEF1,-0.0149756967517707,0.355365744733214,0.449324438067976,NS,0.0149756967517707
NDRG1,0.0149735431581663,0.525718267883871,0.279246931668432,NS,0.0149735431581663
SRI,-0.0149679744665523,0.552388151254511,0.257755645625579,NS,0.0149679744665523
C22orf30,0.014964345392422,0.226449054598903,0.645029488111237,NS,0.014964345392422
FBXO3,0.0149604805035646,0.617454975498031,0.209394705445897,NS,0.0149604805035646
NCRNA00268,0.0149603500878643,0.43734186748496,0.359178944911431,NS,0.0149603500878643
FGF6,-0.0149588268477321,0.460191508696228,0.337061399053717,NS,0.0149588268477321
C16orf86,-0.0149575965843363,0.313662755281814,0.503537046925082,NS,0.0149575965843363
BRD7,0.0149568094175716,0.323491280181748,0.49013742139401,NS,0.0149568094175716
ALOX15,0.0149528247849349,0.63877073072844,0.194654991992464,NS,0.0149528247849349
TMEM109,-0.0149522671144746,0.36649339636776,0.435933846253085,NS,0.0149522671144746
GPR44,0.0149509753573627,0.291218406843989,0.535781178335192,NS,0.0149509753573627
ZNF629,0.0149425333934881,0.399261909261149,0.3987421207768,NS,0.0149425333934881
SLC29A3,0.0149386635768651,0.293023742365811,0.533097189336286,NS,0.0149386635768651
