"gene","log2FC","negLog10P","significance"
"SR140",0.000350769870311129,0.00940027238787626,"NS"
"NANOS1",0.000351172672407474,0.010452231352496,"NS"
"ARNT2",-0.000354103409916373,0.0061703566283126,"NS"
"STRN3",0.000355280196852714,0.00708090498598242,"NS"
"CNOT4",-0.000356625018295809,0.00632278452081723,"NS"
"RPAP3",-0.000357323327449199,0.0047335908792915,"NS"
"C14orf148",0.000357597217051309,0.00443701147097812,"NS"
"ZNF639",0.000358090449509296,0.00467157287103587,"NS"
"SLC35B2",0.000376260489078684,0.00884167716140797,"NS"
"REL",-0.000378529882207879,0.00875123042236683,"NS"
"ARNTL2",0.000379553020427248,0.00540347496829139,"NS"
"NLGN2",-0.000382965031903382,0.0096871719956088,"NS"
"SOLH",-0.000387367789150384,0.0106639921061201,"NS"
"OGDHL",-0.000387511073137947,0.00617260930534021,"NS"
"LOC100288884",-0.000388499059864267,0.0027690501272268,"NS"
"NPTXR",0.000389164092303051,0.00913438732415166,"NS"
"CCDC59",0.000393075883422966,0.00361103524650668,"NS"
"SKOR2",-0.000395001399260186,0.00922032152879804,"NS"
"NEDD8",-0.000398237494966924,0.0100615725376805,"NS"
"ARHGEF15",-0.000399498739014792,0.0110925073800821,"NS"
"PLEKHG6",-0.00040576030508932,0.00859101773007541,"NS"
"TTC15",0.000407688384459926,0.00763591349803788,"NS"
"TLX1",-0.000411263466876033,0.00577306399454392,"NS"
"KLHDC8A",0.000411553226638883,0.00745792587365661,"NS"
"NUFIP1",-0.000412655138713802,0.003145406451077,"NS"
"DDX20",-0.000417406002346521,0.00617965549496072,"NS"
"CREBBP",0.000418302682788863,0.0104698442941443,"NS"
"KRT37",-0.000421722742343977,0.00605223865635263,"NS"
"POLR2G",-0.0004230962297187,0.00737131703273699,"NS"
"CTRB1",0.000425670922518329,0.0115850438165531,"NS"
"ZNF860",-0.000427378658255817,0.00521621603108076,"NS"
"SNUPN",0.000432642145128836,0.00781694219911924,"NS"
"MMP10",0.000435784429332786,0.00456786215883157,"NS"
"RABL5",-0.000445247365354895,0.0100195711645386,"NS"
"SCN9A",0.00044562704988349,0.00599202030588901,"NS"
"GAMT",0.000450270573954192,0.010136006407465,"NS"
"KRTAP2-4",0.000454336550502088,0.021973570475072,"NS"
"TIPARP",0.000459422898273942,0.00493860628815925,"NS"
"C6orf57",0.000459739702545425,0.00687113158313278,"NS"
"ZSWIM1",0.000461083577296684,0.0102008737922465,"NS"
"ATF1",-0.000467816459996495,0.00889257858201462,"NS"
"C1orf150",-0.000469139031068044,0.00572035449509309,"NS"
"CTSF",-0.000469798081757844,0.00924809100115754,"NS"
"CAMK2N2",-0.000470216127126832,0.0158755390033291,"NS"
"ERICH1",0.000472201337078371,0.0114480180463074,"NS"
"AURKB",-0.000474869858605897,0.013405159899704,"NS"
"LYZ",0.000487115860624776,0.00320266340395421,"NS"
"GAD1",0.000493077693724864,0.00750319158130958,"NS"
"AVP",0.000498942942796621,0.0124136264484353,"NS"
"STX11",-0.000500211716892407,0.0110720688533489,"NS"
"WDR18",-0.000503701907873744,0.0126059137721009,"NS"
"DOCK7",0.000505443420380391,0.00974605362234451,"NS"
"D2HGDH",0.00050630639125071,0.0165459046176692,"NS"
"FSCN1",-0.000507204038000975,0.0125189349413457,"NS"
"IGLON5",-0.00050821868773876,0.00416856717938179,"NS"
"MARCKS",-0.000510018624399144,0.0154278790047664,"NS"
"TRA2A",0.000512548217375564,0.017401786589018,"NS"
"CFP",0.000515063458883747,0.0117850262919248,"NS"
"UBQLN2",-0.000518219553674371,0.015370558430427,"NS"
"TNNT2",-0.000518239192042858,0.0109693117688268,"NS"
"SAMD11",-0.00052649309804087,0.0122944268069467,"NS"
"CSRNP1",0.000536686294421829,0.00528459872769992,"NS"
"IL23A",-0.000539176289606091,0.0137477806379083,"NS"
"ZNF318",0.000540354292184908,0.0109680537758369,"NS"
"WDR60",-0.000543506711235153,0.0124460737561036,"NS"
"MRPL38",-0.000543546201273726,0.0115314577597008,"NS"
