name,logFC,DE_class
KLK5,0.0014701240116323788,NS
TTLL1,0.0014713814485773913,NS
NINJ1,-0.0014724870686988467,NS
SPATA8,-0.0014732427765349332,NS
KCTD21,-0.0014790435877092278,NS
MED15,-0.0014851335546994804,NS
NPM3,-0.001485450042525649,NS
DCST2,0.0014854933525061398,NS
MAGEA10,0.001488205902943518,NS
ASB16,0.001492660498213283,NS
ZNF668,0.0014962132624982694,NS
NDE1,0.001502926276432337,NS
TCTN1,-0.001505516533400364,NS
GABPB2,0.0015097828090429033,NS
C9orf114,0.0015284912194244438,NS
PAFAH2,0.0015294473695877109,NS
NBPF3,-0.0015296539973541634,NS
SMU1,-0.0015309716517286631,NS
CPSF4,0.001534980981052092,NS
VAMP2,0.001541987704257064,NS
SRRT,-0.0015530328776218738,NS
ITM2C,0.0015551693702331448,NS
BMPER,-0.0015564043568103703,NS
CD34,-0.0015600801507535955,NS
FAM180B,-0.0015645477362049576,NS
LUC7L3,-0.0015730845205497168,NS
PLEKHB1,-0.0015771423036869958,NS
FAM76A,0.0015795351983369788,NS
AP2A1,-0.0015840005290943537,NS
ACYP2,0.0015898765461677122,NS
GOLGA8E,0.0015904665499382187,NS
IFT172,0.0015913239635581,NS
SF3B14,0.0015918094280396033,NS
APOA1,-0.0015949883637469409,NS
MRGPRX4,0.001614168058856058,NS
UBE2D2,0.0016161520287401032,NS
SNORD29,-0.0016164080296268146,NS
ZAK,0.0016219926306619836,NS
C4orf6,-0.0016245882259668942,NS
CD81,0.0016298571474022694,NS
DNM1P35,-0.0016307162101143469,NS
APBB2,0.0016308483611386926,NS
KCNRG,-0.0016337382038380532,NS
KCNG2,0.0016433015516588156,NS
NUDT18,-0.0016438893202319615,NS
VRK2,-0.0016463210866601852,NS
CLSTN2,0.0016556430554739432,NS
TMUB2,-0.0016634629329757011,NS
RTN4RL2,-0.0016643598304408869,NS
ANKRD30B,-0.0016713334005874492,NS
INTS12,0.001681260316310107,NS
GABRD,-0.0016837373851306126,NS
SOCS7,0.0016936603311044074,NS
FAM171A1,-0.0017000137335059229,NS
TMCC2,0.001702533874097023,NS
ZNF524,-0.0017070643693299914,NS
GRM6,0.0017130465968397957,NS
KIAA1191,0.0017181324732726821,NS
WDR45L,0.001741575030606679,NS
C1QTNF6,-0.001747170416261934,NS
C1orf167,-0.001753223483919486,NS
CUX1,0.001758004913607003,NS
SNORD61,0.0017639468039738482,NS
PRKAA2,-0.0017655093117969756,NS
TIGD5,0.0017691960031003262,NS
PRR20A,0.0017770997288883983,NS
MIR218-1,0.0017798562744480995,NS
TMEM215,-0.001781562413154969,NS
FAM90A7,-0.0017941054519370336,NS
DHX32,-0.001796603883110759,NS
NHLRC2,-0.0017966521679979586,NS
LGTN,-0.0018045015249885665,NS
TOB1,-0.0018070203109621374,NS
LCE2B,-0.0018072118263219306,NS
AKR7A3,-0.0018077628996358008,NS
TXNDC11,0.001808336338750438,NS
RBM33,0.0018088065147900956,NS
C19orf57,0.0018137166897043144,NS
KIAA0100,-0.0018153988642515273,NS
POLR3B,0.001818411368888384,NS
TMEM184A,0.001824004411251412,NS
PTPRR,0.0018250983687270184,NS
ZNF81,-0.0018284781092765545,NS
C9orf3,-0.0018296159812118962,NS
MSH6,0.0018325844140139047,NS
SLC2A4RG,0.0018347723300253804,NS
MBD3L5,0.00183521462946179,NS
ABHD2,-0.0018378901040008166,NS
C8orf77,-0.0018471137126692128,NS
RPL10L,0.0018493756152375695,NS
KRT13,0.0018519276859234601,NS
TNF,0.0018554373514929612,NS
CEACAM20,0.0018575909098654808,NS
UBTF,0.0018618130588925474,NS
SFT2D2,0.0018690411793613748,NS
PLCD3,-0.001871317271384676,NS
CLDN1,-0.0018741323269650945,NS
CHUK,0.0018837541786489442,NS
DSCR6,-0.0018873652459447943,NS
NPAS1,0.0018919539081851955,NS
C17orf87,0.0018966563747868648,NS
KRTAP5-4,0.0019063850573797225,NS
SFTPB,-0.0019114677253000423,NS
MAP6D1,-0.0019191107092744186,NS
TMPRSS6,-0.0019192953360449572,NS
MYEF2,0.0019209425878412567,NS
CXorf21,-0.0019248752256447732,NS
UCN3,-0.0019305193236556217,NS
LOC100271836,0.0019332348562022261,NS
